"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1022.5","...","1024.6","2019-02-01 09:29","1021.1","2019-02-01 00:07","16.5","17.7","2019-02-01 11:18","15.1","2019-02-01 19:13","...","X","99","2019-02-01 00:01","2.9","20","14.4","14","2019-02-01 00:55","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1018.9","...","1022.2","2019-02-02 00:01","1016.5","2019-02-02 15:36","18.2","21.5","2019-02-02 12:16","14.5","2019-02-02 07:31","...","X","99","2019-02-02 00:01","2.7","143","9.0","143","2019-02-02 12:55","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1016.2","...","1018.5","2019-02-03 09:15","1013.9","2019-02-03 15:40","20.9","25.0","2019-02-03 11:03","17.0","2019-02-03 03:41","...","X","87","2019-02-03 10:53","3.2","145","11.1","160","2019-02-03 15:34","19.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1017.3","...","1020.1","2019-02-04 09:49","1015.2","2019-02-04 03:07","20.2","21.6","2019-02-04 11:46","18.5","2019-02-04 06:43","...","X","99","2019-02-04 00:01","3.2","14","10.8","6","2019-02-04 06:27","11.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1014.3","...","1016.9","2019-02-05 00:08","1011.9","2019-02-05 14:49","20.2","23.5","2019-02-05 12:23","17.9","2019-02-05 06:41","...","X","99","2019-02-05 00:01","2.0","239","6.3","68","2019-02-05 12:26","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1013.4","...","1015.7","2019-02-06 08:28","1011.1","2019-02-06 15:31","21.4","24.6","2019-02-06 10:45","17.9","2019-02-06 07:05","...","X","99","2019-02-06 00:01","3.1","124","10.9","131","2019-02-06 14:21","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1013.2","...","1015.2","2019-02-07 09:37","1011.6","2019-02-07 14:24","21.2","26.1","2019-02-07 10:52","16.9","2019-02-07 07:13","...","X","88","2019-02-07 10:52","3.0","27","10.9","36","2019-02-07 23:21","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1015.5","...","1017.8","2019-02-08 09:39","1014.1","2019-02-08 15:02","19.5","20.8","2019-02-08 09:51","17.6","2019-02-08 23:31","...","X","99","2019-02-08 00:01","2.5","25","12.1","43","2019-02-08 00:12","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1017.9","...","1020.6","2019-02-09 22:00","1015.5","2019-02-09 00:01","19.4","22.2","2019-02-09 12:00","17.0","2019-02-09 04:41","...","X","99","2019-02-09 00:01","3.3","26","10.6","26","2019-02-09 16:26","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1021.1","...","1022.7","2019-02-10 09:00","1019.3","2019-02-10 03:21","19.8","21.7","2019-02-10 13:01","17.7","2019-02-10 07:31","...","X","99","2019-02-10 00:01","1.7","242","10.0","19","2019-02-10 01:07","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
