,GR1777,GR0877,GR0177,GR8677,GR9277,GR8677
1-10,0,0,0,2,3,0
11-20,3,10,8,20,6,6
21-30,14,9,14,28,20,15
31-40,12,13,15,20,20,26
41-50,23,15,23,11,19,15
51-60,20,23,16,10,12,18
61-70,12,11,14,5,10,9
71-80,11,13,4,3,4,7
81-90,3,5,6,0,5,4
91-100,2,1,0,0,1,0
,50.32,50.88,46.66,33.73,43.79,45.45
