"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1017.3","...","1019.4","2018-12-01 08:12","1015.2","2018-12-01 13:57","20.7","24.9","2018-12-01 11:57","16.6","2018-12-01 06:42","...","90","57","2018-12-01 11:06","2.6","38","5.8","243","2018-12-01 06:42","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1015.7","...","1017.5","2018-12-02 08:39","1013.6","2018-12-02 14:03","20.7","25.9","2018-12-02 14:57","15.7","2018-12-02 06:11","...","92","54","2018-12-02 11:15","2.6","215","7.1","223","2018-12-02 08:12","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1015.5","...","1017.4","2018-12-03 08:55","1013.6","2018-12-03 13:47","21.2","25.9","2018-12-03 12:49","16.2","2018-12-03 06:21","...","94","60","2018-12-03 11:31","3.0","215","8.1","135","2018-12-03 13:36","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1015.1","...","1016.6","2018-12-04 08:38","1013.2","2018-12-04 14:40","22.9","27.2","2018-12-04 11:52","18.1","2018-12-04 06:52","...","96","68","2018-12-04 10:12","2.7","215","7.0","16","2018-12-04 23:56","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1016.1","...","1018.4","2018-12-05 09:07","1015.0","2018-12-05 02:23","22.1","24.0","2018-12-05 00:01","20.4","2018-12-05 23:51","...","99","99","2018-12-05 00:01","2.5","26","8.9","23","2018-12-05 00:36","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1014.1","...","1015.7","2018-12-06 23:34","1011.8","2018-12-06 14:38","22.5","26.4","2018-12-06 11:31","18.8","2018-12-06 06:21","...","99","90","2018-12-06 11:54","3.4","113","10.6","50","2018-12-06 22:33","8.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1018.5","...","1020.9","2018-12-07 21:00","1015.3","2018-12-07 01:09","21.4","22.8","2018-12-07 02:12","19.2","2018-12-07 23:21","...","99","98","2018-12-07 12:50","5.3","37","13.8","37","2018-12-07 13:05","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1020.6","...","1022.4","2018-12-08 10:25","1019.2","2018-12-08 04:28","20.9","22.1","2018-12-08 11:55","19.1","2018-12-08 00:51","...","99","92","2018-12-08 10:31","5.0","24","13.0","24","2018-12-08 07:40","1.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1019.5","...","1022.2","2018-12-09 09:21","1017.5","2018-12-09 15:35","20.6","22.9","2018-12-09 12:02","18.2","2018-12-09 06:31","...","99","96","2018-12-09 12:23","3.4","228","11.9","46","2018-12-09 13:42","4.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1016.5","...","1017.9","2018-12-10 09:19","1014.8","2018-12-10 13:40","21.3","23.9","2018-12-10 11:32","19.1","2018-12-10 05:41","...","99","99","2018-12-10 00:01","2.6","15","9.9","25","2018-12-10 14:54","1.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1015.7","...","1019.2","2018-12-11 23:55","1013.3","2018-12-11 13:03","21.6","25.8","2018-12-11 10:30","19.4","2018-12-11 23:42","...","99","99","2018-12-11 00:01","5.3","39","17.5","36","2018-12-11 20:35","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","1022.1","...","1024.2","2018-12-12 20:50","1018.7","2018-12-12 00:11","19.3","20.5","2018-12-12 10:43","17.8","2018-12-12 22:32","...","97","84","2018-12-12 11:26","6.8","32","15.6","43","2018-12-12 04:19","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
