"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1011.1","...","1012.6","2018-05-01 08:44","1009.5","2018-05-01 16:07","25.5","28.5","2018-05-01 12:46","21.7","2018-05-01 05:51","...","86","67","2018-05-01 08:54","5.4","191","12.9","117","2018-05-01 12:56","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1010.1","...","1011.6","2018-05-02 08:20","1008.3","2018-05-02 15:03","26.1","29.4","2018-05-02 11:54","22.0","2018-05-02 05:21","...","87","65","2018-05-02 09:29","5.4","127","14.0","132","2018-05-02 13:12","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1015.1","...","1017.8","2018-05-03 22:13","1010.5","2018-05-03 00:45","22.8","25.7","2018-05-03 03:21","20.6","2018-05-03 22:51","...","82","71","2018-05-03 10:50","6.7","36","18.0","18","2018-05-03 10:08","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1017.3","...","1018.6","2018-05-04 09:07","1015.8","2018-05-04 02:23","21.6","24.2","2018-05-04 15:04","19.2","2018-05-04 07:11","...","87","66","2018-05-04 15:05","3.9","9","7.8","18","2018-05-04 04:59","2.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1015.6","...","1017.6","2018-05-05 00:01","1014.0","2018-05-05 15:36","23.3","25.9","2018-05-05 09:53","20.2","2018-05-05 03:31","...","87","71","2018-05-05 09:30","5.5","138","12.3","141","2018-05-05 11:40","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1010.4","...","1014.6","2018-05-06 00:01","1007.6","2018-05-06 16:08","25.3","29.3","2018-05-06 12:42","20.4","2018-05-06 05:31","...","88","62","2018-05-06 10:25","6.1","150","15.2","156","2018-05-06 16:31","1.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1005.9","...","1008.4","2018-05-07 00:01","1003.7","2018-05-07 16:56","25.8","28.1","2018-05-07 10:03","23.6","2018-05-07 01:41","...","94","84","2018-05-07 13:25","4.3","46","7.3","42","2018-05-07 15:15","1.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1006.8","...","1012.2","2018-05-08 23:20","1003.2","2018-05-08 01:24","24.9","28.5","2018-05-08 13:23","22.4","2018-05-08 22:32","...","90","71","2018-05-08 23:55","5.9","28","13.6","43","2018-05-08 16:56","6.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1014.6","...","1017.3","2018-05-09 21:24","1011.3","2018-05-09 02:58","22.0","24.0","2018-05-09 13:01","20.6","2018-05-09 18:22","...","88","68","2018-05-09 00:07","4.1","3","11.6","25","2018-05-09 00:07","3.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1015.9","...","1017.9","2018-05-10 09:02","1014.6","2018-05-10 16:11","22.1","23.9","2018-05-10 11:13","20.4","2018-05-10 01:01","...","77","54","2018-05-10 11:08","4.9","22","10.8","18","2018-05-10 09:30","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
