"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1009.8","...","1012.2","2018-06-01 22:17","1007.6","2018-06-01 02:31","25.0","27.5","2018-06-01 02:00","22.5","2018-06-01 18:41","...","90","80","2018-06-01 09:54","6.7","22","14.1","17","2018-06-01 11:24","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1009.9","...","1011.5","2018-06-02 08:14","1008.5","2018-06-02 16:54","24.5","26.9","2018-06-02 11:46","22.5","2018-06-02 01:32","...","88","70","2018-06-02 12:46","4.6","62","8.9","54","2018-06-02 12:25","1.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1007.5","...","1009.1","2018-06-03 00:01","1006.2","2018-06-03 15:56","26.0","29.6","2018-06-03 13:30","22.6","2018-06-03 03:51","...","87","69","2018-06-03 09:49","5.3","219","10.0","50","2018-06-03 16:06","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1007.8","...","1009.6","2018-06-04 20:12","1006.2","2018-06-04 15:41","26.3","29.7","2018-06-04 12:07","23.9","2018-06-04 05:21","...","90","73","2018-06-04 07:57","5.3","42","9.4","50","2018-06-04 11:47","14.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1007.9","...","1009.0","2018-06-05 21:46","1006.6","2018-06-05 16:19","27.0","30.7","2018-06-05 13:51","23.9","2018-06-05 04:51","...","87","69","2018-06-05 08:50","5.7","112","9.5","123","2018-06-05 12:36","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1007.4","...","1009.2","2018-06-06 22:36","1005.4","2018-06-06 16:19","27.6","31.1","2018-06-06 12:36","24.7","2018-06-06 03:01","...","88","70","2018-06-06 08:59","5.0","100","9.3","114","2018-06-06 21:50","24.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1006.6","...","1008.5","2018-06-07 00:21","1004.6","2018-06-07 16:20","27.3","30.4","2018-06-07 13:48","24.2","2018-06-07 05:01","...","86","66","2018-06-07 10:16","4.5","78","9.2","110","2018-06-07 12:48","16.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1002.6","...","1006.0","2018-06-08 00:01","1000.5","2018-06-08 16:04","27.8","30.6","2018-06-08 12:21","23.9","2018-06-08 05:22","...","83","68","2018-06-08 08:22","6.5","37","12.3","41","2018-06-08 16:56","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","998.3","...","1000.6","2018-06-09 00:01","996.4","2018-06-09 14:49","27.4","30.2","2018-06-09 10:17","24.5","2018-06-09 04:31","...","84","62","2018-06-09 09:07","6.0","218","12.6","46","2018-06-09 12:53","1.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","998.6","...","999.9","2018-06-10 20:19","997.3","2018-06-10 14:18","26.4","29.5","2018-06-10 11:26","24.8","2018-06-10 21:11","...","95","77","2018-06-10 11:24","4.7","11","9.4","323","2018-06-10 15:14","37.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","999.0","...","1002.7","2018-06-11 22:19","996.8","2018-06-11 02:10","26.1","29.3","2018-06-11 11:04","24.2","2018-06-11 22:52","...","92","78","2018-06-11 11:04","6.0","212","15.0","40","2018-06-11 13:55","3.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","1003.0","...","1004.4","2018-06-12 08:33","1001.7","2018-06-12 01:48","26.3","29.2","2018-06-12 11:29","23.7","2018-06-12 23:21","...","75","54","2018-06-12 10:02","5.0","57","9.4","235","2018-06-12 21:58","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","1000.2","...","1002.3","2018-06-13 00:02","997.3","2018-06-13 23:53","24.8","28.9","2018-06-13 09:31","22.0","2018-06-13 04:13","...","84","60","2018-06-13 10:01","5.7","10","10.6","62","2018-06-13 12:16","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","996.2","...","997.7","2018-06-14 00:01","994.9","2018-06-14 16:09","25.4","30.1","2018-06-14 09:23","22.5","2018-06-14 03:51","...","93","65","2018-06-14 09:21","5.4","29","11.2","141","2018-06-14 11:22","5.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","996.4","...","1000.9","2018-06-15 23:03","994.3","2018-06-15 15:10","26.3","29.3","2018-06-15 16:30","24.2","2018-06-15 02:51","...","92","70","2018-06-15 16:20","4.2","51","11.9","54","2018-06-15 15:48","16.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","1003.1","...","1005.3","2018-06-16 21:20","1000.4","2018-06-16 01:33","25.5","28.6","2018-06-16 11:25","23.4","2018-06-16 22:51","...","90","65","2018-06-16 11:35","5.0","12","10.8","220","2018-06-16 09:33","11.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","1003.7","...","1005.0","2018-06-17 08:01","1002.3","2018-06-17 23:58","25.1","28.4","2018-06-17 10:08","23.2","2018-06-17 00:32","...","93","71","2018-06-17 10:09","4.9","177","8.6","130","2018-06-17 14:08","2.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","1002.7","...","1004.0","2018-06-18 09:30","1001.3","2018-06-18 15:34","26.2","29.3","2018-06-18 12:47","23.8","2018-06-18 03:01","...","93","76","2018-06-18 10:48","5.5","148","16.3","162","2018-06-18 14:59","2.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","1002.1","...","1004.1","2018-06-19 21:58","1000.8","2018-06-19 15:32","26.6","29.0","2018-06-19 10:07","24.3","2018-06-19 05:01","...","93","76","2018-06-19 10:22","4.5","223","7.9","218","2018-06-19 22:26","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","1003.2","...","1004.6","2018-06-20 22:58","1001.6","2018-06-20 02:23","27.1","30.0","2018-06-20 11:17","24.3","2018-06-20 05:12","...","89","72","2018-06-20 11:17","4.4","133","9.7","152","2018-06-20 14:35","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","1004.5","...","1007.0","2018-06-21 21:52","1002.5","2018-06-21 01:24","27.5","31.0","2018-06-21 12:31","25.1","2018-06-21 03:02","...","88","67","2018-06-21 10:37","5.1","8","9.7","66","2018-06-21 12:50","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"22","1005.9","...","1007.3","2018-06-22 07:18","1004.0","2018-06-22 15:59","27.3","30.3","2018-06-22 12:16","25.0","2018-06-22 05:51","...","90","67","2018-06-22 12:16","5.3","32","14.2","150","2018-06-22 13:10","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"23","1006.4","...","1008.6","2018-06-23 22:37","1004.7","2018-06-23 12:56","27.0","30.7","2018-06-23 12:19","24.7","2018-06-23 19:10","...","93","70","2018-06-23 12:18","5.8","183","16.6","140","2018-06-23 13:57","17.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"24","1008.2","...","1010.2","2018-06-24 22:22","1006.5","2018-06-24 03:33","26.7","30.4","2018-06-24 11:45","24.3","2018-06-24 04:22","...","93","72","2018-06-24 11:40","5.4","196","12.6","147","2018-06-24 13:04","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"25","1009.5","...","1011.4","2018-06-25 21:47","1007.9","2018-06-25 16:09","27.3","29.9","2018-06-25 10:44","23.9","2018-06-25 05:01","...","87","70","2018-06-25 15:37","6.1","135","13.4","140","2018-06-25 12:05","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"26","1010.2","...","1011.4","2018-06-26 21:53","1008.9","2018-06-26 04:00","27.2","29.4","2018-06-26 13:01","24.4","2018-06-26 05:41","...","88","74","2018-06-26 13:10","5.5","208","11.9","138","2018-06-26 14:24","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"27","1008.4","...","1010.2","2018-06-27 00:01","1006.7","2018-06-27 16:25","27.3","29.6","2018-06-27 10:01","23.9","2018-06-27 05:21","...","83","63","2018-06-27 08:49","6.2","136","13.6","123","2018-06-27 13:45","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"28","1005.1","...","1008.1","2018-06-28 00:01","1003.4","2018-06-28 16:45","27.4","29.8","2018-06-28 11:05","24.6","2018-06-28 05:11","...","86","65","2018-06-28 10:31","6.0","120","15.3","157","2018-06-28 12:13","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"29","1002.6","...","1004.4","2018-06-29 00:01","1000.6","2018-06-29 16:55","27.5","29.9","2018-06-29 12:30","24.7","2018-06-29 04:52","...","87","74","2018-06-29 15:26","5.0","105","9.0","101","2018-06-29 13:00","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
