"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1013.1","...","1015.1","2018-10-01 21:03","1011.5","2018-10-01 03:14","23.5","28.0","2018-10-01 14:31","19.2","2018-10-01 05:52","...","71","35","2018-10-01 14:32","2.7","221","7.1","48","2018-10-01 11:27","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1013.8","...","1015.3","2018-10-02 09:01","1012.1","2018-10-02 14:41","22.7","26.2","2018-10-02 10:16","17.8","2018-10-02 06:21","...","72","51","2018-10-02 20:12","4.6","41","12.7","30","2018-10-02 11:35","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1011.7","...","1014.0","2018-10-03 07:53","1009.7","2018-10-03 14:20","23.9","27.6","2018-10-03 11:28","19.0","2018-10-03 05:41","...","70","43","2018-10-03 09:48","5.0","30","16.9","27","2018-10-03 17:25","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1005.8","...","1009.9","2018-10-04 00:01","1002.9","2018-10-04 13:27","24.1","29.1","2018-10-04 12:05","19.1","2018-10-04 05:41","...","79","53","2018-10-04 11:57","3.0","144","11.2","141","2018-10-04 14:36","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1006.9","...","1010.7","2018-10-05 23:07","1003.6","2018-10-05 02:31","24.9","28.4","2018-10-05 09:38","20.8","2018-10-05 05:32","...","87","65","2018-10-05 09:41","2.4","123","6.8","122","2018-10-05 12:25","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1011.7","...","1013.9","2018-10-06 22:21","1009.2","2018-10-06 01:55","25.1","28.3","2018-10-06 12:03","22.3","2018-10-06 05:12","...","84","67","2018-10-06 11:41","3.9","25","12.2","22","2018-10-06 14:13","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1012.2","...","1013.7","2018-10-07 09:36","1010.7","2018-10-07 15:26","25.1","27.7","2018-10-07 09:53","22.4","2018-10-07 03:43","...","88","74","2018-10-07 08:58","3.2","52","11.0","38","2018-10-07 13:36","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1011.6","...","1013.0","2018-10-08 09:18","1009.9","2018-10-08 14:24","24.4","27.6","2018-10-08 12:00","21.5","2018-10-08 04:52","...","91","70","2018-10-08 09:26","2.9","16","7.8","352","2018-10-08 21:48","21.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1011.7","...","1013.1","2018-10-09 08:41","1010.4","2018-10-09 14:58","22.9","23.9","2018-10-09 00:44","21.9","2018-10-09 12:01","...","99","99","2018-10-09 00:01","1.9","16","7.6","349","2018-10-09 03:17","44.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1013.1","...","1014.7","2018-10-10 09:34","1011.3","2018-10-10 03:52","22.0","22.9","2018-10-10 00:06","20.6","2018-10-10 12:22","...","99","95","2018-10-10 09:10","2.4","225","13.1","14","2018-10-10 09:45","18.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
