"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1020.7","...","1022.9","2018-01-01 08:32","1018.6","2018-01-01 15:01","17.6","20.1","2018-01-01 11:47","15.6","2018-01-01 05:51","...","76","61","2018-01-01 11:52","3.8","27","10.4","26","2018-01-01 00:50","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1020.2","...","1022.6","2018-01-02 08:51","1017.9","2018-01-02 17:29","18.0","19.9","2018-01-02 12:13","16.1","2018-01-02 05:42","...","89","74","2018-01-02 14:31","3.2","37","8.0","12","2018-01-02 05:00","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1019.1","...","1020.8","2018-01-03 08:05","1016.9","2018-01-03 15:16","19.2","23.0","2018-01-03 12:00","16.1","2018-01-03 02:52","...","84","65","2018-01-03 10:04","3.9","120","7.9","219","2018-01-03 05:31","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1015.8","...","1019.1","2018-01-04 00:01","1013.1","2018-01-04 23:26","19.2","22.3","2018-01-04 14:29","16.4","2018-01-04 05:11","...","88","67","2018-01-04 11:02","3.7","204","8.2","233","2018-01-04 09:24","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1014.9","...","1018.1","2018-01-05 21:19","1012.2","2018-01-05 03:00","18.9","20.5","2018-01-05 11:07","17.0","2018-01-05 23:21","...","90","76","2018-01-05 21:26","5.8","26","16.6","29","2018-01-05 16:43","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1016.5","...","1018.9","2018-01-06 09:16","1014.3","2018-01-06 14:50","17.9","19.6","2018-01-06 13:18","16.3","2018-01-06 04:22","...","96","86","2018-01-06 10:25","2.7","202","5.7","214","2018-01-06 04:17","22.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1016.1","...","1018.2","2018-01-07 09:41","1014.2","2018-01-07 03:59","17.5","18.4","2018-01-07 10:11","16.8","2018-01-07 20:05","...","99","94","2018-01-07 13:11","3.6","222","11.6","25","2018-01-07 09:07","29.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1012.7","...","1017.2","2018-01-08 23:50","1009.8","2018-01-08 15:11","18.6","21.5","2018-01-08 15:34","15.8","2018-01-08 23:51","...","94","80","2018-01-08 12:23","4.8","25","17.9","39","2018-01-08 20:38","6.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1020.1","...","1023.3","2018-01-09 22:25","1016.5","2018-01-09 01:27","13.7","16.4","2018-01-09 00:01","11.5","2018-01-09 23:32","...","87","72","2018-01-09 11:24","5.7","18","16.4","41","2018-01-09 02:45","15.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1023.7","...","1025.5","2018-01-10 09:08","1021.6","2018-01-10 14:02","13.0","15.1","2018-01-10 11:25","11.2","2018-01-10 02:43","...","76","51","2018-01-10 22:22","3.9","217","9.2","55","2018-01-10 16:25","2.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1024.9","...","1026.5","2018-01-11 08:34","1022.7","2018-01-11 15:18","13.2","14.5","2018-01-11 14:38","11.2","2018-01-11 07:11","...","66","48","2018-01-11 23:41","5.3","8","16.4","15","2018-01-11 22:47","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","1026.6","...","1028.6","2018-01-12 09:01","1024.5","2018-01-12 13:42","13.1","15.1","2018-01-12 12:42","10.6","2018-01-12 06:43","...","52","39","2018-01-12 02:23","6.8","21","18.1","18","2018-01-12 00:58","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","1026.3","...","1029.0","2018-01-13 08:29","1024.0","2018-01-13 14:23","13.2","16.4","2018-01-13 11:33","9.0","2018-01-13 07:12","...","64","46","2018-01-13 10:48","4.6","226","12.5","14","2018-01-13 00:14","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","1021.6","...","1025.5","2018-01-14 00:01","1018.4","2018-01-14 14:33","14.2","19.3","2018-01-14 14:47","8.4","2018-01-14 06:21","...","75","43","2018-01-14 11:02","4.6","70","8.2","235","2018-01-14 05:27","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","1017.4","...","1020.3","2018-01-15 00:01","1015.0","2018-01-15 14:13","15.8","22.6","2018-01-15 14:12","9.6","2018-01-15 06:21","...","75","37","2018-01-15 10:32","4.7","222","10.1","201","2018-01-15 01:20","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","1013.0","...","1016.1","2018-01-16 00:01","1010.6","2018-01-16 15:33","17.6","23.0","2018-01-16 13:47","12.0","2018-01-16 05:51","...","79","49","2018-01-16 11:21","4.3","74","9.0","233","2018-01-16 07:46","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","1014.0","...","1015.8","2018-01-17 09:21","1010.9","2018-01-17 02:50","18.5","19.9","2018-01-17 10:11","17.0","2018-01-17 05:11","...","96","87","2018-01-17 15:49","3.8","227","8.0","243","2018-01-17 07:31","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","1015.6","...","1017.6","2018-01-18 09:04","1014.2","2018-01-18 14:18","20.4","24.4","2018-01-18 10:59","17.2","2018-01-18 06:32","...","93","69","2018-01-18 10:57","4.0","41","8.2","34","2018-01-18 11:23","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","1016.4","...","1018.4","2018-01-19 09:28","1014.7","2018-01-19 03:27","20.5","21.5","2018-01-19 09:42","18.6","2018-01-19 23:41","...","92","78","2018-01-19 15:43","4.0","35","13.0","27","2018-01-19 11:27","2.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","1015.7","...","1017.9","2018-01-20 09:15","1013.6","2018-01-20 14:37","19.5","21.2","2018-01-20 15:49","18.3","2018-01-20 03:02","...","96","79","2018-01-20 15:53","3.6","41","7.9","75","2018-01-20 11:00","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
