time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-04T23:34:00.630Z,35.6623333,-117.5245,2.61,3.82,ml,30,45,0.09111,0.14,ci,ci37420973,2019-09-26T14:31:03.040Z,"14km ENE of Ridgecrest, CA",earthquake,0.24,0.58,0.203,7,reviewed,ci,ci
2019-07-04T23:33:24.510Z,35.6,-117.5931667,7.2,1.82,ml,21,53,0.1076,0.16,ci,ci38445695,2019-07-09T17:34:30.583Z,"8km ESE of Ridgecrest, CA",earthquake,0.27,1.38,0.215,27,automatic,ci,ci
2019-07-04T23:32:27.280Z,35.748,-117.556,7.88,1.26,ml,9,135,0.07555,0.14,ci,ci37237932,2019-11-14T00:03:13.911Z,"14km W of Searles Valley, CA",earthquake,0.46,0.91,0.227,4,reviewed,ci,ci
2019-07-04T23:31:46.018Z,56.2799,-148.8283,10,3.6,ml,,157,2.546,0.8,us,us70004afd,2019-09-26T14:30:14.040Z,"274km SE of Kodiak, Alaska",earthquake,7.1,2,0.04,84,reviewed,us,us
2019-07-04T23:31:44.100Z,35.7028333,-117.49,0.96,2.19,ml,36,63,0.1183,0.14,ci,ci38445687,2019-11-13T23:55:08.567Z,"11km SW of Searles Valley, CA",earthquake,0.15,0.29,0.129,23,reviewed,ci,ci
2019-07-04T23:30:53.430Z,35.6785,-117.5298333,4.99,1.44,ml,27,85,0.1071,0.12,ci,ci38445679,2019-11-13T23:31:14.113Z,"15km ENE of Ridgecrest, CA",earthquake,0.19,0.53,0.12,14,reviewed,ci,ci
2019-07-04T23:29:40.780Z,35.7235,-117.5416667,1.32,1.52,ml,23,73,0.1026,0.19,ci,ci37237908,2019-11-13T23:05:01.538Z,"13km WSW of Searles Valley, CA",earthquake,0.25,0.33,0.13,10,reviewed,ci,ci
2019-07-04T23:29:31.210Z,35.6943333,-117.496,9.83,1.97,ml,28,76,0.1111,0.18,ci,ci37237900,2019-11-13T22:53:04.908Z,"12km SW of Searles Valley, CA",earthquake,0.26,0.54,0.144,15,reviewed,ci,ci
2019-07-04T23:29:26.050Z,35.6806667,-117.5131667,2.48,1.63,ml,20,68,0.1027,0.13,ci,ci37237892,2019-11-13T22:39:30.673Z,"14km SW of Searles Valley, CA",earthquake,0.2,0.45,0.182,10,reviewed,ci,ci
2019-07-04T23:29:21.480Z,19.3343334,-155.1356659,5.08,1.8,ml,40,121,0.04861,0.15,hv,hv71033557,2019-07-04T23:35:01.260Z,"15km SE of Volcano, Hawaii",earthquake,0.4,0.76,0.34,4,automatic,hv,hv
2019-07-04T23:29:14.960Z,35.6056667,-117.5861667,5.72,1.46,ml,20,91,0.1028,0.13,ci,ci38445663,2019-11-13T22:27:39.035Z,"8km ESE of Ridgecrest, CA",earthquake,0.17,0.91,0.201,14,reviewed,ci,ci
2019-07-04T23:29:02.080Z,35.5691667,-117.6228333,8.65,1.18,ml,21,91,0.1017,0.18,ci,ci37237884,2019-11-13T22:11:16.577Z,"8km SE of Ridgecrest, CA",earthquake,0.26,0.81,0.171,13,reviewed,ci,ci
2019-07-04T23:28:37.870Z,35.699,-117.5015,6.96,1.67,ml,31,68,0.1167,0.14,ci,ci38445655,2019-11-13T22:00:51.949Z,"12km SW of Searles Valley, CA",earthquake,0.17,0.49,0.103,21,reviewed,ci,ci
2019-07-04T23:28:21.180Z,35.7013333,-117.4771667,1.31,1.5,ml,27,86,0.1152,0.2,ci,ci38445647,2019-11-13T21:49:58.640Z,"10km SW of Searles Valley, CA",earthquake,0.24,0.48,0.145,22,reviewed,ci,ci
2019-07-04T23:27:16.210Z,35.6861667,-117.4811667,1.27,1.51,ml,28,64,0.1006,0.18,ci,ci37237836,2019-11-13T21:35:25.480Z,"11km SW of Searles Valley, CA",earthquake,0.22,0.42,0.089,16,reviewed,ci,ci
2019-07-04T23:26:43.810Z,35.6871667,-117.4928333,1.31,1.32,ml,26,63,0.1035,0.2,ci,ci37237828,2019-11-13T21:07:13.238Z,"12km SW of Searles Valley, CA",earthquake,0.26,0.5,0.154,14,reviewed,ci,ci
2019-07-04T23:26:25.980Z,35.6575,-117.527,1.75,1.37,ml,21,71,0.08835,0.28,ci,ci37237820,2019-11-13T20:57:07.311Z,"14km ENE of Ridgecrest, CA",earthquake,0.35,0.69,0.169,9,reviewed,ci,ci
2019-07-04T23:26:14.780Z,35.7221667,-117.5266667,3.68,1.35,ml,23,96,0.1097,0.16,ci,ci37237812,2019-11-13T19:59:31.925Z,"12km WSW of Searles Valley, CA",earthquake,0.24,0.74,0.09,15,reviewed,ci,ci
2019-07-04T23:25:48.520Z,35.6706667,-117.4668333,10.96,1.55,ml,26,89,0.08407,0.17,ci,ci38445639,2019-11-13T19:50:05.832Z,"12km SSW of Searles Valley, CA",earthquake,0.28,0.53,0.14,15,reviewed,ci,ci
2019-07-04T23:25:24.480Z,35.7486667,-117.5475,6.94,1.5,ml,26,68,0.07831,0.13,ci,ci38445631,2019-11-13T19:39:43.940Z,"13km W of Searles Valley, CA",earthquake,0.18,0.48,0.132,16,reviewed,ci,ci
2019-07-04T23:25:02.930Z,35.7445,-117.5585,4.92,1.12,ml,17,91,0.07784,0.14,ci,ci37237772,2019-11-13T19:23:09.585Z,"14km W of Searles Valley, CA",earthquake,0.26,0.53,0.103,8,reviewed,ci,ci
2019-07-04T23:24:24.920Z,35.7058333,-117.518,6.67,2.01,ml,33,61,0.1273,0.13,ci,ci38445623,2019-11-13T19:24:01.550Z,"12km WSW of Searles Valley, CA",earthquake,0.14,0.47,0.155,23,reviewed,ci,ci
2019-07-04T23:23:34.970Z,35.6313333,-117.5706667,1.19,2.02,ml,25,57,0.09906,0.2,ci,ci38445615,2019-11-13T18:56:33.326Z,"10km E of Ridgecrest, CA",earthquake,0.22,0.42,0.139,50,reviewed,ci,ci
2019-07-04T23:23:19.270Z,35.6495,-117.5361667,1.92,2.22,ml,24,77,0.08708,0.15,ci,ci38445607,2019-11-13T18:20:04.267Z,"13km ENE of Ridgecrest, CA",earthquake,0.19,0.44,0.129,17,reviewed,ci,ci
2019-07-04T23:22:19.810Z,35.6995,-117.488,10.17,1.63,ml,26,85,0.1147,0.15,ci,ci38445599,2019-11-13T18:10:25.149Z,"11km SW of Searles Valley, CA",earthquake,0.2,0.52,0.075,22,reviewed,ci,ci
2019-07-04T23:21:59.497Z,61.3038,-152.4556,4.2,0.8,ml,,,,0.3,ak,ak0198ic8q0h,2019-07-24T19:02:25.134Z,"92km N of Redoubt Volcano, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2019-07-04T23:21:50.100Z,35.6073333,-117.58,8.57,1.59,ml,21,93,0.09823,0.17,ci,ci38445591,2019-11-13T17:57:45.279Z,"9km E of Ridgecrest, CA",earthquake,0.21,0.76,0.185,22,reviewed,ci,ci
2019-07-04T23:21:07.910Z,35.6933333,-117.5075,6.3,1.95,ml,35,49,0.1128,0.18,ci,ci38445583,2019-11-13T17:25:39.827Z,"12km SW of Searles Valley, CA",earthquake,0.2,0.79,0.125,26,reviewed,ci,ci
2019-07-04T23:20:58.030Z,35.6708333,-117.5326667,10.71,1.68,ml,20,181,0.1539,0.3,ci,ci37237748,2019-11-13T17:37:15.335Z,"14km ENE of Ridgecrest, CA",earthquake,1.46,1.33,0.215,7,reviewed,ci,ci
2019-07-04T23:20:56.069Z,61.3181,-152.4374,3.7,2.1,ml,,,,0.73,ak,ak0198ic8kxa,2019-07-24T19:02:24.191Z,"93km NW of Nikiski, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2019-07-04T23:20:42.080Z,35.5735,-117.6083333,5.71,1.37,ml,26,72,0.1114,0.18,ci,ci38445575,2019-11-13T16:48:58.097Z,"8km SE of Ridgecrest, CA",earthquake,0.22,1.01,0.224,18,reviewed,ci,ci
2019-07-04T23:20:25.690Z,46.1998333333333,-122.195,3.25,0.5,ml,15,51,,0.16,uw,uw61533336,2019-07-05T16:56:53.520Z,"37km NNE of Amboy, Washington",earthquake,0.4,0.74,0.128817297594181,13,reviewed,uw,uw
2019-07-04T23:20:19.870Z,35.5876667,-117.6015,1.58,1.08,ml,16,90,0.1135,0.2,ci,ci37237740,2019-11-13T17:06:46.390Z,"8km ESE of Ridgecrest, CA",earthquake,0.28,0.54,0.224,7,reviewed,ci,ci
2019-07-04T23:19:29.130Z,35.5881667,-117.5668333,13.15,1.31,ml,20,91,0.0853,0.27,ci,ci37237732,2019-11-13T16:57:22.139Z,"10km ESE of Ridgecrest, CA",earthquake,0.39,1.04,0.217,6,reviewed,ci,ci
2019-07-04T23:18:56.400Z,35.6093333,-117.5926667,2.42,1.48,ml,21,96,0.1087,0.17,ci,ci37237724,2019-11-13T16:27:26.723Z,"8km E of Ridgecrest, CA",earthquake,0.23,0.59,0.172,12,reviewed,ci,ci
2019-07-04T23:18:43.090Z,35.6168333,-117.583,2.29,1.65,ml,25,83,0.103,0.14,ci,ci38445567,2019-11-13T16:15:02.683Z,"8km E of Ridgecrest, CA",earthquake,0.18,0.45,0.122,21,reviewed,ci,ci
2019-07-04T23:18:25.440Z,35.7476667,-117.5441667,11.81,1.54,ml,22,137,0.08059,0.2,ci,ci38445559,2019-11-13T15:57:45.831Z,"13km W of Searles Valley, CA",earthquake,0.36,0.82,0.164,23,reviewed,ci,ci
2019-07-04T23:17:50.700Z,35.6818333,-117.5665,8.72,1.91,ml,27,74,0.1275,0.15,ci,ci38445551,2019-11-13T15:40:49.707Z,"12km NE of Ridgecrest, CA",earthquake,0.2,0.78,0.157,23,reviewed,ci,ci
2019-07-04T23:17:31.320Z,35.687,-117.4908333,0.79,1.62,ml,23,63,0.103,0.15,ci,ci37237588,2019-11-12T23:41:06.437Z,"12km SW of Searles Valley, CA",earthquake,0.22,0.32,0.063,11,reviewed,ci,ci
2019-07-04T23:17:23.000Z,35.6651667,-117.5643333,9.36,2.04,ml,21,105,0.1144,0.13,ci,ci37237580,2019-11-12T23:27:54.572Z,"11km ENE of Ridgecrest, CA",earthquake,0.26,0.68,0.125,4,reviewed,ci,ci
2019-07-04T23:17:20.420Z,35.688,-117.5105,1.52,1.92,ml,32,72,0.1087,0.18,ci,ci38445543,2019-11-12T23:28:41.090Z,"13km SW of Searles Valley, CA",earthquake,0.19,0.41,0.136,18,reviewed,ci,ci
2019-07-04T23:16:49.790Z,35.6906667,-117.4958333,5.64,1.36,ml,23,63,0.1075,0.11,ci,ci37237572,2019-11-12T23:05:58.568Z,"12km SW of Searles Valley, CA",earthquake,0.18,0.79,0.142,16,reviewed,ci,ci
2019-07-04T23:16:21.030Z,35.734,-117.5333333,6.82,1.59,ml,27,119,0.09683,0.23,ci,ci38445535,2019-11-12T22:53:23.795Z,"12km WSW of Searles Valley, CA",earthquake,0.33,0.84,0.091,20,reviewed,ci,ci
2019-07-04T23:15:56.770Z,35.6776667,-117.5038333,4.86,1.44,ml,21,83,0.09708,0.17,ci,ci38445527,2019-07-05T23:40:16.382Z,"14km SW of Searles Valley, CA",earthquake,0.29,0.79,0.118,16,reviewed,ci,ci
