,營業收入合計,營業毛利（毛損）,營業利益（損失）,繼續營業單位稅前淨利（淨損）,營業費用合計,本期淨利（淨損）,基本每股盈餘合計,本期現金及約當現金增加（減少）數,股東權益總額,資產總額,營業毛利率(%),營業利益率(%),純益率(%),股東權益率(%),總資產報酬率(%),營收成長率,淨利成長率
2010-01-01,2147871.0,514269.0,247512.0,410558.0,266757.0,313686.0,1.57,801162.0,2772967.0,4798522.0,23.94319770600748,11.523597087534586,19.114648877888847,14.805729747234642,8.55592617893593,,
2011-01-01,4016035.0,1362795.0,945264.0,1212515.0,417531.0,1097073.0,3.29,1958039.0,5848058.0,7288942.0,33.933842708044125,23.537245068830327,30.191843447579515,20.733634994728163,16.634993116970886,0.8697747676652834,1.953334242664861
2012-01-01,5395328.0,911115.0,438786.0,639360.0,472329.0,522543.0,0.48,162393.0,6265716.0,10140344.0,16.887110477805983,8.132702960783849,11.850252663044767,10.204101175348516,6.305111542566998,0.34344645900745396,-0.4726993068126992
2013-01-01,6145786.0,590667.0,16659.0,311749.0,574008.0,234469.0,0.06,-542054.0,6133778.0,10525316.0,9.610926901782783,0.27106378256581015,5.072565169044285,5.082495649500194,2.961896820960055,0.13909404581148732,-0.5124045920920921
2014-01-01,8259070.0,779409.0,194952.0,-362631.0,584457.0,-467693.0,-2.43,-720810.0,6241308.0,12082791.0,9.437006830066824,2.3604594706183626,-4.39070016357774,-5.810176328423465,-3.001218840911839,0.3438590279583442,-2.1632146374166394
2015-01-01,13244156.0,1470254.0,536771.0,915663.0,933483.0,671280.0,0.01,221241.0,7734746.0,16495209.0,11.101152840543406,4.052889440444525,6.913713489934731,11.838307295417328,5.5510845603714385,0.6035892661038107,-3.525054394136188
2016-01-01,18789504.0,2861526.0,1958648.0,1696639.0,902878.0,1098406.0,0.01,1689836.0,9410659.0,21604904.0,15.229385512251948,10.42416021199921,9.029716803594177,18.02890743358143,7.853027257144952,0.41870150125081573,0.8529076745483875
2017-01-01,17461057.0,2282865.0,1258305.0,1334609.0,1024560.0,749273.0,0.1,3316325.0,10193441.0,24609073.0,13.074036697778377,7.206350680832209,7.643345989879077,13.092821158233026,5.423239631984512,-0.07070154699134157,-0.21338068970476332
2018-01-01,12609313.0,343585.0,-2267547.0,-2616730.0,2611132.0,-2753724.0,-7.78,-1209133.0,7126793.0,24406084.0,2.7248510684126885,-17.983112957859003,-20.752359783598042,-36.71679533838011,-10.721629901790061,-0.27786084198682814,-2.9606716274204654
2019-01-01,9378711.0,-141818.0,16147.0,-2131889.0,1020462.0,-2162825.0,-4.21,-1237515.0,4831474.0,18708505.0,-1.5121267730714807,0.17216651627286522,-22.731151434349563,-44.12502271563502,-11.395293210227113,-0.2562076141658154,-0.1852850695333489
