,營業收入合計,營業毛利（毛損）,營業利益（損失）,繼續營業單位稅前淨利（淨損）,營業費用合計,本期淨利（淨損）,基本每股盈餘合計,本期現金及約當現金增加（減少）數,股東權益總額,資產總額,營業毛利率(%),營業利益率(%),純益率(%),股東權益率(%),總資產報酬率(%),營收成長率,淨利成長率
2015-01-01,480506.0,-205194.0,-647604.0,-659054.0,442410.0,-618041.0,-3.04,502131.0,4467397.0,5857053.0,-42.703733147973175,-134.77542424028005,-137.1583289282548,-14.752528150061433,-11.252314090379583,,
2016-01-01,290737.0,-290406.0,-737525.0,-731070.0,447119.0,-782319.0,-3.24,-66654.0,3684912.0,5434537.0,-99.88615140143841,-253.67428294300348,-251.45406329431754,-19.839551120895152,-13.452295936157945,-0.3949357552247006,0.10927177439177971
2017-01-01,606725.0,-188644.0,-591871.0,-627563.0,403227.0,-627563.0,-2.54,727866.0,3094896.0,6784867.0,-31.092175202933785,-97.55177386789732,-103.4345049239771,-20.277353423184493,-9.249451757860545,1.0868516907032815,-0.1415828853598151
2018-01-01,562743.0,-261240.0,-705221.0,-776971.0,443981.0,-776971.0,-3.24,-435406.0,2349342.0,5745856.0,-46.42261209824023,-125.31848463685911,-138.06853217187953,-33.07185586432286,-13.522284582140589,-0.07249083192550165,0.23807649590559032
2019-01-01,822366.0,-294307.0,-716487.0,-665914.0,422180.0,-665914.0,-2.59,-607629.0,1856293.0,5678240.0,-35.787836559390826,-87.12507569622285,-80.97538079152105,-35.87332387721119,-11.727471892699146,0.4613526956354854,-0.14293583673007104
