,營業收入合計,營業毛利（毛損）,營業利益（損失）,繼續營業單位稅前淨利（淨損）,營業費用合計,本期淨利（淨損）,基本每股盈餘合計,本期現金及約當現金增加（減少）數,股東權益總額,資產總額,營業毛利率(%),營業利益率(%),純益率(%),股東權益率(%),總資產報酬率(%),營收成長率,淨利成長率
2010-01-01,1386836.0,-623852.0,-994201.0,-2342289.0,370349.0,-2414591.0,-10.72,-312384.0,2816288.0,3465123.0,-44.983833704922574,-71.6884332394025,-168.89444750496813,-83.16937046211183,-67.59612862227401,,
2011-01-01,1697340.0,-186362.0,-473218.0,-213998.0,286856.0,56354.0,0.02,140573.0,2785086.0,3678913.0,-10.979650511977566,-27.879976905039648,-12.607845216633084,-7.683712459866589,-5.816881236386943,0.22389381296707045,-0.9086372347733349
2012-01-01,1435918.0,-228791.0,-506648.0,-529096.0,277857.0,-562867.0,-2.09,-240205.0,2255736.0,3348690.0,-15.9334307390812,-35.28390896973225,-36.84722943789269,-23.455581681544295,-15.800088990022964,-0.15401864093228224,1.4724343218160918
2013-01-01,1396357.0,-276352.0,-508885.0,-517304.0,232533.0,-527035.0,-1.99,56645.0,1762991.0,2815510.0,-19.79092739177732,-36.443760442351056,-37.04668648490322,-29.342407306673717,-18.37336752488892,-0.02755101614437594,-0.022287070777325835
2014-01-01,389183.0,-354769.0,-480546.0,-640012.0,125777.0,-589305.0,-2.2,-457061.0,1088171.0,1688184.0,-91.15737326656097,-123.47558860484655,-164.4501429918573,-58.81538839024382,-37.91127033546106,-0.7212868915327527,0.23720674883627413
2015-01-01,199751.0,-321966.0,-420190.0,-418350.0,98224.0,-418350.0,-1.55,-43003.0,685625.0,1415305.0,-161.1836736737238,-210.35689433344515,-209.43574750564454,-61.01731996353692,-29.558999650252066,-0.48674274056163813,-0.34634038111785403
2016-01-01,124777.0,-230066.0,-316976.0,-266176.0,86910.0,-266176.0,-0.99,12271.0,414490.0,995230.0,-184.38173701884162,-254.03399665002365,-213.32136531572323,-64.21771333445922,-26.745174482280476,-0.3753372949321906,-0.36374805784630093
2017-01-01,172409.0,-146014.0,-207752.0,-154355.0,61738.0,-158619.0,-0.59,-19636.0,243042.0,1032321.0,-84.69047439518819,-120.49950988637484,-89.52838888921112,-63.50959916393052,-14.952229006287773,0.3817370188416134,-0.4201017371964415
2018-01-01,226696.0,-189846.0,-255108.0,-126424.0,65262.0,-135802.0,-0.5,13753.0,106635.0,824613.0,-83.74475067932386,-112.53308395384127,-55.768077072378865,-118.55769681624233,-15.331312991670032,0.31487335347922674,-0.1809529979592498
2019-01-01,184560.0,-168938.0,-214588.0,70732.0,45650.0,70732.0,0.26,-14076.0,142558.0,418844.0,-91.5355439965323,-116.27004768097096,38.32466406588643,49.616296524923186,16.887433029958647,-0.1858700638740869,-1.5594823767639054
