,營業收入合計,營業毛利（毛損）,營業利益（損失）,繼續營業單位稅前淨利（淨損）,營業費用合計,本期淨利（淨損）,基本每股盈餘合計,本期現金及約當現金增加（減少）數,股東權益總額,資產總額,營業毛利率(%),營業利益率(%),純益率(%),股東權益率(%),總資產報酬率(%),營收成長率,淨利成長率
2010-01-01,1126848.0,528452.0,297957.0,247993.0,230495.0,246381.0,3.62,141431.0,1194288.0,2312234.0,46.89647583347532,26.441631879366163,22.007670954733914,20.764924373350482,10.72525531585471,,
2011-01-01,1197243.0,451890.0,205653.0,276417.0,246237.0,249048.0,2.62,157791.0,1682690.0,2370488.0,37.744217339337126,17.17721465065989,23.08779420719102,16.427089957151942,11.660763522110216,0.06247071477253363,0.11461613835874407
2012-01-01,1200576.0,453495.0,168551.0,194124.0,284944.0,165524.0,2.2,-119357.0,1676515.0,2375100.0,37.7731189029266,14.039177861293245,16.169238765392613,11.579019573341128,8.173297966401414,0.002783896001062436,-0.29771323760839596
2013-01-01,1320421.0,531412.0,212426.0,211022.0,318986.0,175688.0,2.26,2766.0,1742577.0,3056140.0,40.24564892560782,16.087747771354742,15.981418047728718,12.10976616815211,6.904853835230061,0.09982291833253365,0.08704745420452897
2014-01-01,1043480.0,374994.0,98734.0,113682.0,276260.0,96918.0,1.25,-17710.0,1711018.0,3040155.0,35.936865105224825,9.461992563345728,10.894506842488596,6.644114790142476,3.739348816096548,-0.20973689452076272,-0.461278918785719
2015-01-01,946704.0,296756.0,23350.0,37907.0,273406.0,14911.0,0.19,9971.0,1615926.0,3207463.0,31.346228599435516,2.4664520272439963,4.004102655106559,2.345837618801851,1.1818374833941965,-0.09274351209414655,-0.6665523125912634
2016-01-01,1162211.0,406473.0,99515.0,336106.0,306958.0,308311.0,3.98,-31190.0,1863794.0,2870633.0,34.97411399479096,8.56255877805321,28.919533544253152,18.033430733224808,11.708428071439297,0.22763926211360674,7.866594560371436
2017-01-01,1198670.0,414462.0,98130.0,93089.0,316332.0,60183.0,0.78,-47186.0,1771167.0,2725642.0,34.57682264509832,8.186573452242902,7.766024009944355,5.255800271798199,3.415305458310373,0.031370379388940606,-0.7230367800634323
2018-01-01,1168248.0,407866.0,78135.0,109537.0,329731.0,85891.0,1.11,12915.0,1821221.0,3447925.0,34.91262129273922,6.688220309386363,9.376176976121508,6.014481493459608,3.1768962491933554,-0.02537979594050077,0.17669112354843208
2019-01-01,1019452.0,351510.0,30976.0,240246.0,320534.0,234288.0,3.02,-49628.0,1983903.0,3221418.0,34.48028941038911,3.0384951915342753,23.566190463111557,12.109765447201804,7.457771701778533,-0.1273667919825242,1.1932862868254563
