,營業收入合計,營業毛利（毛損）,營業利益（損失）,繼續營業單位稅前淨利（淨損）,營業費用合計,本期淨利（淨損）,基本每股盈餘合計,本期現金及約當現金增加（減少）數,股東權益總額,資產總額,營業毛利率(%),營業利益率(%),純益率(%),股東權益率(%),總資產報酬率(%),營收成長率,淨利成長率
2010-01-01,23576434.0,1716962.0,554465.0,558420.0,1162497.0,456827.0,1.95,929466.0,3576074.0,10291392.0,7.282534754831881,2.351776354303624,2.368551579937831,15.615448673601273,5.426088132684092,,
2011-01-01,31876831.0,2198987.0,845017.0,957638.0,1353970.0,716804.0,3.09,-274240.0,3735828.0,11738648.0,6.898386480136623,2.6508814505431864,3.004181940168394,25.633888926363845,8.157992300305793,0.35206329337167785,0.7149063428960281
2012-01-01,32120261.0,2325266.0,905411.0,877629.0,1419855.0,666860.0,2.73,319592.0,4028496.0,13335683.0,7.239250017302163,2.818815824690839,2.732322131504473,21.785524920466596,6.58105775309746,0.00763658093867603,-0.08354827189397251
2013-01-01,29308439.0,1967620.0,555867.0,557326.0,1411753.0,434004.0,1.78,-693312.0,3760838.0,11562611.0,6.713492997699399,1.8966107338572347,1.9015888222501376,14.819197210834394,4.82007048408011,-0.08754044682264572,-0.3649640109886979
2014-01-01,33299359.0,2187990.0,642568.0,658621.0,1545422.0,528073.0,2.16,299659.0,3903697.0,14745834.0,6.570667020947761,1.929670778347415,1.9778789135250323,16.871724419185195,4.466488636722751,0.13616965407130688,0.18175179338484115
2015-01-01,39932743.0,2459320.0,765036.0,656750.0,1694284.0,505913.0,1.94,47271.0,4504823.0,15956972.0,6.158655317016414,1.9158112930033382,1.6446403393826465,14.57881919001035,4.115755796275133,0.1992045552588564,-0.0028407840017248276
2016-01-01,38838829.0,2468089.0,757970.0,608023.0,1710119.0,473122.0,1.7,290462.0,4761784.0,16188826.0,6.354694679389021,1.9515778912901829,1.5655029146218593,12.768806816940877,3.755818982797147,-0.027393910806477795,-0.07419413779977158
2017-01-01,43741657.0,2437584.0,625004.0,471135.0,1812580.0,390713.0,1.33,26946.0,5268806.0,19994966.0,5.572683266205485,1.4288530496226972,1.0770853971078416,8.941969015370844,2.3562680726738923,0.12623521682386452,-0.22513622017588153
2018-01-01,51929408.0,2806330.0,912412.0,827500.0,1893918.0,631260.0,1.95,-690431.0,5394197.0,21101807.0,5.40412476876301,1.7570236887738062,1.5935094041511122,15.340559493841251,3.921465114338312,0.18718428979496582,0.7563967864837042
2019-01-01,52987131.0,3400085.0,1268285.0,888407.0,2131800.0,624054.0,1.83,62610.0,5818592.0,25605201.0,6.416812791770138,2.3935717523562468,1.6766467314488116,15.268418888968327,3.469634938620478,0.02036847791524976,0.07360362537764353
