,營業收入合計,營業毛利（毛損）,營業利益（損失）,繼續營業單位稅前淨利（淨損）,營業費用合計,本期淨利（淨損）,基本每股盈餘合計,本期現金及約當現金增加（減少）數,股東權益總額,資產總額,營業毛利率(%),營業利益率(%),純益率(%),股東權益率(%),總資產報酬率(%),營收成長率,淨利成長率
2010-01-01,10809342.0,1250668.0,140617.0,-238149.0,1110051.0,-287508.0,-0.68,-4987.0,7318473.0,15326678.0,11.570250992151049,1.300883994603927,-2.2031775847225483,-3.25408046186684,-1.5538200776450057,,
2011-01-01,12807000.0,1586521.0,308759.0,179944.0,1277762.0,148148.0,0.31,-31013.0,7754401.0,16597672.0,12.387920668384478,2.410861247755134,1.4050441164987897,2.320540297051958,1.0841520425274098,0.18480847400332046,-1.7555941868326133
2012-01-01,14768640.0,1713659.0,249630.0,606678.0,1464029.0,455722.0,0.91,707874.0,10542571.0,20044301.0,11.603363613711215,1.690270735829433,4.107879940197607,5.754554557896741,3.0266857397521623,0.1531693605059734,2.371482238918775
2013-01-01,11902682.0,904649.0,-510661.0,-588062.0,1415310.0,-571124.0,-0.88,-940900.0,9369804.0,18433758.0,7.600379477499272,-4.2903019672372995,-4.940583979308193,-6.276139821067763,-3.190136270639986,-0.1940570018634079,-1.9693148589531844
2014-01-01,13277901.0,1373335.0,-40639.0,286022.0,1413974.0,259147.0,0.44,50467.0,9508412.0,18052272.0,10.343012799989998,-0.30606494204166756,2.1541205948138944,3.008094306388911,1.5844099845160764,0.11553858197673428,-1.4863806877506114
2015-01-01,13875993.0,1853826.0,262791.0,525313.0,1591035.0,513208.0,0.9,83480.0,9901463.0,18637177.0,13.359951968842879,1.8938536506900805,3.7857687013823083,5.305407897802578,2.818629666928634,0.04504416774910425,0.8366174629923573
2016-01-01,13788912.0,2126552.0,548117.0,622140.0,1578435.0,525579.0,0.97,-376773.0,9809476.0,19295626.0,15.422188494639752,3.97505619007504,4.511886071939541,6.34223479419288,3.2242540356037166,-0.006275658974460474,0.18432248963951015
2017-01-01,12649827.0,787051.0,-748618.0,-836400.0,1535669.0,-715680.0,-1.27,-178060.0,8296548.0,19838908.0,6.221832124660677,-5.918009787801841,-6.611948131780775,-10.081301283377135,-4.215957854131891,-0.08260876565170627,-2.3443919375060274
2018-01-01,18131323.0,2879257.0,1098590.0,680894.0,1780667.0,651647.0,1.24,-59089.0,9527953.0,22438719.0,15.880016036336675,6.059072468126016,3.7553464796804956,7.1462779046034335,3.03446021138729,0.4333257680124796,-1.8140769966523194
2019-01-01,19539609.0,2707764.0,811573.0,731275.0,1896191.0,639123.0,1.06,419633.0,9898944.0,22246556.0,13.857820798768286,4.153476151953706,3.7425262706126823,7.38740415139231,3.2871380181273904,0.07767144184679742,0.07399242760253433
