,營業收入合計,營業毛利（毛損）,營業利益（損失）,繼續營業單位稅前淨利（淨損）,營業費用合計,本期淨利（淨損）,基本每股盈餘合計,本期現金及約當現金增加（減少）數,股東權益總額,資產總額,營業毛利率(%),營業利益率(%),純益率(%),股東權益率(%),總資產報酬率(%),營收成長率,淨利成長率
2010-01-01,4353831.0,1493357.0,290163.0,438121.0,1203194.0,398417.0,1.3,79630.0,4399373.0,6798142.0,34.29983846410207,6.664544397795873,10.06288484785009,9.958714571371875,6.444716806445055,,
2011-01-01,4555141.0,1604929.0,295460.0,453943.0,1309469.0,361266.0,1.21,-72144.0,4565354.0,7427299.0,35.233355015794245,6.486297570152054,9.965509300370725,9.943215794437846,6.111818037755044,0.04623744008437636,0.036113311162897954
2012-01-01,5024675.0,1604611.0,281816.0,350415.0,1322795.0,307891.0,1.03,404886.0,4782355.0,9465212.0,31.934622637285,5.608641354913502,6.973883883037211,7.327247768097517,3.702135778892221,0.10307781910592895,-0.22806387586106625
2013-01-01,4947571.0,1595411.0,261164.0,389659.0,1334247.0,322765.0,1.08,85757.0,4904531.0,10113247.0,32.24634876386817,5.278630665431582,7.8757636828253705,7.944877909834804,3.8529564243808143,-0.015345072069337773,0.1119929226773968
2014-01-01,5173846.0,1566614.0,235034.0,326583.0,1331580.0,241552.0,0.81,101819.0,5088615.0,11071869.0,30.27948647872395,4.542732814235291,6.312190196615824,6.4179152873620815,2.949664595923236,0.045734563485799296,-0.16187487007870982
2015-01-01,5297426.0,1622806.0,278782.0,432874.0,1344024.0,350593.0,1.17,-22748.0,5483552.0,10309861.0,30.633858783492208,5.2625935690276755,8.171402488680352,7.8940438606217285,4.198640505434555,0.02388551959219498,0.3254639708741729
2016-01-01,5627644.0,1612370.0,245956.0,450329.0,1366414.0,359951.0,1.19,-94110.0,5489457.0,9912905.0,28.650888364651355,4.370496783378622,8.002087552091071,8.20352541244061,4.542856004370061,0.06233555692896897,0.04032351215365204
2017-01-01,5781413.0,1689008.0,286435.0,387404.0,1402573.0,315894.0,1.05,-73051.0,5498325.0,9957117.0,29.21444982394442,4.954411663723038,6.700853234321783,7.04585487398435,3.8907245942776405,0.02732386767890782,-0.13973117431922
2018-01-01,6244807.0,1922597.0,277301.0,366063.0,1645296.0,306494.0,1.05,134938.0,5603695.0,10276563.0,30.787132412578966,4.4405055272324665,5.861878517622722,6.532528983108467,3.562115076801456,0.08015237797403496,-0.055087195795603505
2019-01-01,7580236.0,2865170.0,336442.0,450488.0,2528728.0,366947.0,1.24,-169057.0,5701157.0,10766302.0,37.79789969599891,4.4384106246823976,5.942928425975128,7.901694340289173,4.184240791313489,0.21384632063088582,0.23062970035212516
