,營業收入合計,營業毛利（毛損）,營業利益（損失）,繼續營業單位稅前淨利（淨損）,營業費用合計,本期淨利（淨損）,基本每股盈餘合計,本期現金及約當現金增加（減少）數,股東權益總額,資產總額,營業毛利率(%),營業利益率(%),純益率(%),股東權益率(%),總資產報酬率(%),營收成長率,淨利成長率
2010-01-01,1770545.0,590065.0,177702.0,161561.0,412363.0,155063.0,1.43,11206.0,1424388.0,1962238.0,33.3267440251448,10.03657066044636,9.124930459265368,11.342485334052238,8.233506842696961,,
2011-01-01,1888490.0,639660.0,189159.0,129625.0,450501.0,106441.0,0.96,-119968.0,1397992.0,1898176.0,33.87150580622614,10.016415231216474,6.863949504630684,9.272227595007697,6.8289241882733736,0.06661508179684783,-0.19767146774283395
2012-01-01,2039420.0,530624.0,-24611.0,-42156.0,555235.0,-66696.0,0.36,518409.0,2214606.0,3437343.0,26.01837777407302,-1.2067646683861097,-2.067058281276049,-1.903544016407433,-1.2264123772343931,0.07992099508072581,-1.325215043394407
2013-01-01,2153526.0,473491.0,-73166.0,-71659.0,546657.0,-97826.0,-0.15,-415161.0,2213911.0,3540253.0,21.986778891919577,-3.3974978709335293,-3.32751961202233,-3.2367606466565277,-2.0241208749770143,0.05595022114130499,0.6998529272226965
2014-01-01,2063606.0,445998.0,-110083.0,-109475.0,556081.0,-102884.0,-0.43,231577.0,2623084.0,3994807.0,21.61255588518351,-5.334496992158387,-5.3050340035840176,-4.17352246439687,-2.7404327668395494,-0.04175477797806948,0.527721570214488
2015-01-01,2237532.0,611216.0,71198.0,106123.0,540018.0,86330.0,0.47,55031.0,2825495.0,4215266.0,27.316525529020367,3.181988011791563,4.742859543461278,3.7559082567833246,2.5175872649555213,0.08428256169055537,-1.9693811372459464
2016-01-01,1700054.0,518432.0,17466.0,1418.0,500966.0,-2281.0,-0.15,-329939.0,2806148.0,4209785.0,30.495031334298794,1.0273791303099784,0.08340911523986885,0.050531903520413035,0.033683430388962855,-0.24021019587652825,-0.9866381463019327
2017-01-01,1724135.0,373493.0,-137766.0,-145849.0,511259.0,-132977.0,-0.81,-154442.0,2638950.0,4188178.0,21.662630826472405,-7.990441583750692,-8.459256380735846,-5.526781485060346,-3.4823973575144134,0.014164844175537983,-103.85543018335684
2018-01-01,1226823.0,208414.0,-287306.0,-419273.0,495720.0,-394152.0,-1.88,-75355.0,2493488.0,4120705.0,16.988106678795557,-23.418700171092325,-34.17550861045155,-16.814718979999103,-10.174788052044493,-0.28844145035046564,1.8747060315806072
2019-01-01,1225841.0,184923.0,-326454.0,-417409.0,511377.0,-422243.0,-1.6,-181903.0,2082476.0,3599776.0,15.085398514162929,-26.631023109848666,-34.050827146424375,-20.043880457685948,-11.595415936991635,-0.0008004414654763092,-0.004445790690075446
