,營業收入合計,營業毛利（毛損）,營業利益（損失）,繼續營業單位稅前淨利（淨損）,營業費用合計,本期淨利（淨損）,基本每股盈餘合計,本期現金及約當現金增加（減少）數,股東權益總額,資產總額,營業毛利率(%),營業利益率(%),純益率(%),股東權益率(%),總資產報酬率(%),營收成長率,淨利成長率
2010-01-01,2000493.0,531656.0,-59420.0,-116933.0,591076.0,-127758.0,-0.66,-168576.0,2096828.0,2983337.0,26.576248954632682,-2.9702678289801563,-5.845209155943061,-5.576661509670798,-3.9195370821331954,,
2011-01-01,2008129.0,640209.0,49556.0,62804.0,590653.0,44579.0,0.23,54227.0,2106231.0,3141492.0,31.880870203059665,2.467769749851728,3.1274883237082878,2.9818191831760146,1.9991774609007438,0.0038170590949331284,-1.5370938913736927
2012-01-01,2060095.0,626052.0,25230.0,48512.0,600822.0,44507.0,0.26,-62182.0,2150898.0,3292594.0,30.389472330159535,1.2247008026328883,2.3548428591885324,2.2554300575852504,1.4733671992356179,0.02587781960222668,-0.2275651232405579
2013-01-01,2159039.0,573621.0,-33916.0,-8445.0,607537.0,-9387.0,0.02,88890.0,2055496.0,3374630.0,26.568348232709088,-1.5708840831499569,-0.39114624608448484,-0.41084974137629066,-0.250249656999434,0.04802885303833082,-1.1740806398416885
2014-01-01,2229386.0,525381.0,-78292.0,-15249.0,606229.0,-18513.0,-0.07,3613.0,2078042.0,3156221.0,23.566174722546926,-3.511818949253292,-0.6839999892347041,-0.7338157746571051,-0.48314107282094626,0.032582551774192225,0.8056838365896981
2015-01-01,1926598.0,607017.0,-4155.0,29433.0,611172.0,21987.0,0.12,-118373.0,2101038.0,3113690.0,31.507195585171377,-0.21566512578129948,1.5277188079713568,1.4008789940972033,0.9452771470506055,-0.13581676748665328,-2.930159354711784
2016-01-01,2263048.0,688120.0,23305.0,35986.0,664815.0,32767.0,0.18,43653.0,2093077.0,3593882.0,30.40677882219025,1.029805819408161,1.5901562847982011,1.7192869636425225,1.0013127865633873,0.17463425167056124,0.222641253015323
2017-01-01,2696941.0,739511.0,30244.0,54637.0,709267.0,49448.0,0.27,115278.0,2109549.0,3870965.0,27.42036255149816,1.1214186739717331,2.025887848492051,2.589984873544061,1.4114568331152568,0.19172947281719166,0.5182848885677764
2018-01-01,3297432.0,840067.0,76803.0,87528.0,763264.0,73991.0,0.39,27331.0,2141720.0,4568506.0,25.476401029649743,2.3291761589018365,2.654429264955274,4.086808733167734,1.9158998587284333,0.22265633545561436,0.6019913245602797
2019-01-01,3354042.0,937782.0,97436.0,120258.0,840346.0,115559.0,0.63,-178578.0,2155356.0,4276492.0,27.959757212342602,2.9050321969730852,3.585464940510584,5.579495916219872,2.812071202284489,0.017167905206233236,0.37393748286262674
