,營業收入合計,營業毛利（毛損）,營業利益（損失）,繼續營業單位稅前淨利（淨損）,營業費用合計,本期淨利（淨損）,基本每股盈餘合計,本期現金及約當現金增加（減少）數,股東權益總額,資產總額,營業毛利率(%),營業利益率(%),純益率(%),股東權益率(%),總資產報酬率(%),營收成長率,淨利成長率
2010-01-01,2938322.0,890703.0,577795.0,550441.0,312908.0,524361.0,1.43,661169.0,5490462.0,15816492.0,30.313321684961693,19.66411441632333,18.733174920924256,10.025404055250723,3.4801712035766217,,
2011-01-01,2548873.0,1117736.0,756830.0,757167.0,360906.0,746810.0,1.85,1264728.0,6237462.0,17602899.0,43.85216525107371,29.692730865759103,29.705952395431233,12.139023852970968,4.301376722095605,-0.13254129397663017,0.37556432024503983
2012-01-01,5153712.0,2040535.0,990772.0,984940.0,1049763.0,960769.0,2.06,-1327392.0,7189892.0,19610113.0,39.59350076216909,19.224434737525108,19.11127358300192,13.698954031576552,5.022612567301372,1.0219571551819175,0.30082267188084
2013-01-01,2495775.0,1263373.0,579965.0,556140.0,683408.0,545479.0,1.0,38868.0,8320806.0,22402118.0,50.62046859192034,23.23787200368623,22.283258707215197,6.68372751389709,2.4825331247697204,-0.5157325438441263,-0.43535646841431963
2014-01-01,7797418.0,3856265.0,2891595.0,2744538.0,964670.0,2427688.0,4.03,961448.0,11658465.0,29693153.0,49.45566596532339,37.084006526262925,35.19803606783681,23.541160864659282,9.242999556160305,2.124247177730364,3.934976804401769
2015-01-01,5051696.0,2380980.0,1123525.0,1211316.0,1257455.0,925793.0,1.37,247352.0,12913439.0,43146456.0,47.132289829,22.240550500267634,23.978402500863076,9.380274301833927,2.8074519028863,-0.35213220581479665,-0.5586448429571753
2016-01-01,4825644.0,1613359.0,426941.0,36438.0,1186418.0,-23695.0,0.25,1257567.0,12084107.0,45715693.0,33.4330298712462,8.847337267316032,0.7550909267239772,0.3015365554111694,0.07970567131072474,-0.04474774412395366,-0.9699186669704685
2017-01-01,7446649.0,2234195.0,955947.0,355066.0,1278248.0,353958.0,0.57,-1555052.0,11985779.0,40882400.0,30.00268980047267,12.837277545913606,4.76813127622908,2.9623940171097765,0.8685057628710644,0.5431409776601839,8.744387727098085
2018-01-01,4912171.0,1807009.0,625412.0,605678.0,1181597.0,493418.0,0.63,-799430.0,12305007.0,38253932.0,36.78636187543145,12.731885758863037,12.330148930075929,4.922207683425129,1.5833091353850894,-0.34035147890010664,0.7058180732596193
2019-01-01,7313145.0,2291447.0,685556.0,153718.0,1605891.0,-29667.0,0.17,-304643.0,12079426.0,37179891.0,31.33326359589479,9.374297925174464,2.1019410937428424,1.2725604676910973,0.41344392322182977,0.4887806226615483,-0.7462050792665409
