,營業收入合計,營業毛利（毛損）,營業利益（損失）,繼續營業單位稅前淨利（淨損）,營業費用合計,本期淨利（淨損）,基本每股盈餘合計,本期現金及約當現金增加（減少）數,股東權益總額,資產總額,營業毛利率(%),營業利益率(%),純益率(%),股東權益率(%),總資產報酬率(%),營收成長率,淨利成長率
2010-01-01,48803467.0,7624704.0,1325415.0,2434151.0,6305297.0,1730260.0,0.72,-2002139.0,65980405.0,112632144.0,15.62328348516715,2.7158213985084294,4.987659995549087,3.689202877733169,2.1611512606916192,,
2011-01-01,64507506.0,10683575.0,2413853.0,6169459.0,8271948.0,5229430.0,2.62,397993.0,69421408.0,131973144.0,16.561754844467245,3.74197229079047,9.563939737493495,8.886968988010153,4.674783681746644,0.32178121689592265,1.5345424338917346
2012-01-01,76583954.0,12207141.0,2031012.0,5618052.0,10183106.0,4611681.0,2.28,3063669.0,72510253.0,159179575.0,15.939554387594038,2.652007233786858,7.335808229488908,7.74794152214584,3.5293799471446006,0.18720996592241534,-0.08937688053360915
2013-01-01,77688918.0,13203811.0,793942.0,4347655.0,12409742.0,3412715.0,1.89,19774.0,73722579.0,172656258.0,16.99574577676574,1.0219501319351623,5.596235746261777,5.897318106573564,2.518098706853707,0.01442813986856839,-0.22612766845162702
2014-01-01,93217451.0,14334969.0,-368694.0,3307294.0,14705300.0,2291068.0,1.62,-2889057.0,77379152.0,177050350.0,15.377988612883225,-0.3955203623836485,3.547934388379704,4.274140921058427,1.8679963072651369,0.19988092767619703,-0.23929244615775636
2015-01-01,120610516.0,17351978.0,408370.0,3610800.0,16944352.0,2809406.0,1.51,6577946.0,80148720.0,202842687.0,14.386786969719953,0.33858573327055497,2.993768802050395,4.505124972675795,1.7800986830745344,0.2938619829885716,0.09176867856319992
2016-01-01,122525821.0,17960078.0,279956.0,4737877.0,17681210.0,3919292.0,2.29,-3041437.0,81181643.0,212002090.0,14.658198454348655,0.22848734880136,3.8668396272162093,5.836143276873567,2.234825609502246,0.015880082960593622,0.31214052287581695
2017-01-01,112166685.0,19199818.0,2223895.0,3063895.0,16976080.0,1779223.0,0.91,777127.0,79062820.0,221271641.0,17.117219787675815,1.982669809667639,2.7315552741885885,3.875266528565513,1.3846758609251693,-0.08454655447687232,-0.3533190076483623
2018-01-01,94111028.0,20005011.0,1897027.0,4138448.0,18104387.0,3078421.0,1.56,7548938.0,79121139.0,258416507.0,21.256819126447116,2.015732948958968,4.39741025886998,5.2305212643614745,1.601464259401974,-0.1609716557104277,0.35071469485736295
2019-01-01,88115701.0,18959655.0,2018343.0,5385062.0,16946883.0,3847036.0,1.39,4314822.0,83060290.0,305673093.0,21.516772589711337,2.29055999906305,6.111353525973765,6.483317118204138,1.7617062552509326,-0.063704829576402,0.30122741665474595
