,營業收入合計,營業毛利（毛損）,營業利益（損失）,繼續營業單位稅前淨利（淨損）,營業費用合計,本期淨利（淨損）,基本每股盈餘合計,本期現金及約當現金增加（減少）數,股東權益總額,資產總額,營業毛利率(%),營業利益率(%),純益率(%),股東權益率(%),總資產報酬率(%),營收成長率,淨利成長率
2016-01-01,2805291.0,448200.0,110758.0,139752.0,337442.0,104811.0,3.18,-294261.0,789078.0,1977932.0,15.976952123683425,3.9481822028445532,4.98172916820394,17.710796651281623,7.065561404537668,,
2018-01-01,6817502.0,738679.0,183648.0,214632.0,555031.0,182145.0,3.03,16710.0,1548113.0,4432423.0,10.83503899228779,2.6937725870854163,3.148249901503512,13.864104235285149,4.84231762176128,1.4302298763301207,0.5358062854198866
2019-01-01,5316086.0,724736.0,205010.0,218196.0,519726.0,184370.0,3.02,8750.0,1814672.0,3149993.0,13.632887052617281,3.856408643502005,4.104448272657741,12.023991112443461,6.926872535907222,-0.22022963836314235,0.016605166051660625
