,營業收入合計,營業毛利（毛損）,營業利益（損失）,繼續營業單位稅前淨利（淨損）,營業費用合計,本期淨利（淨損）,基本每股盈餘合計,本期現金及約當現金增加（減少）數,股東權益總額,資產總額,營業毛利率(%),營業利益率(%),純益率(%),股東權益率(%),總資產報酬率(%),營收成長率,淨利成長率
2010-01-01,4963447.0,658891.0,246406.0,387467.0,412485.0,260753.0,1.34,620956.0,6724312.0,10340678.0,13.274867244477475,4.9644128364823885,7.806409537565324,5.76218057698691,3.7470173619176617,,
2011-01-01,8974869.0,1233856.0,674895.0,811361.0,558961.0,642336.0,3.25,846282.0,7546967.0,13204580.0,13.747899830069944,7.519831208678367,9.040365937374686,10.750822151468267,6.144542272453952,0.8081927740942938,1.0940131675729803
2012-01-01,15318601.0,1181924.0,638475.0,835448.0,543449.0,667792.0,3.25,680949.0,8095166.0,16400073.0,7.715613194703616,4.167971996920607,5.453813961209643,10.320331911661848,5.094172446671426,0.7068328239665671,0.02968715528599475
2013-01-01,13103583.0,1274685.0,604423.0,735143.0,670262.0,561134.0,2.7,-357392.0,8256278.0,16660650.0,9.727759193802184,4.6126544167347205,5.610244159937019,8.904048531311567,4.412450894773013,-0.14459662471788381,-0.12006133236299565
2014-01-01,12266048.0,1234479.0,553675.0,627198.0,680804.0,455424.0,2.08,-1923169.0,8816507.0,18189129.0,10.064195085491267,4.513882547989377,5.113285061333528,7.113905767896515,3.4482024950177657,-0.06391648757442903,-0.14683537760680576
2015-01-01,14499699.0,959303.0,312313.0,409616.0,646990.0,291841.0,1.32,-110495.0,9199513.0,20271942.0,6.616020098072381,2.153927471184057,2.8249965740668133,4.452583522627774,2.0206056232797036,0.18210029831939356,-0.346911182752496
2016-01-01,17495357.0,987363.0,337459.0,476389.0,649904.0,279638.0,1.02,166224.0,9219905.0,23054481.0,5.6435716058837775,1.9288488940237116,2.722945293428422,5.166962132473166,2.06636184956842,0.2066013922082106,0.1630136518104761
2017-01-01,23473383.0,2025547.0,1213275.0,1209908.0,812272.0,844983.0,2.97,1544184.0,10890932.0,24010034.0,8.629122610916372,5.168726638167153,5.154382732135372,11.109315529653477,5.039176537609234,0.34169214152074745,1.5397479790675268
2018-01-01,21186782.0,1746016.0,855740.0,1044294.0,890276.0,812530.0,2.76,-1429410.0,11397874.0,27062592.0,8.241062753182621,4.039027729647664,4.928988272027342,9.162182350848939,3.8588099765166617,-0.09741250334474583,-0.13688148189779714
2019-01-01,22235076.0,1841132.0,1087780.0,1153626.0,753352.0,832000.0,2.41,529274.0,11627201.0,26996608.0,8.280304506267484,4.892180265091066,5.18831597427416,9.921785991314676,4.273225732655006,0.049478679678678805,0.10469465495349017
