,營業收入合計,營業毛利（毛損）,營業利益（損失）,繼續營業單位稅前淨利（淨損）,營業費用合計,本期淨利（淨損）,基本每股盈餘合計,本期現金及約當現金增加（減少）數,股東權益總額,資產總額,營業毛利率(%),營業利益率(%),純益率(%),股東權益率(%),總資產報酬率(%),營收成長率,淨利成長率
2013-01-01,2268737.0,412945.0,192062.0,207785.0,220883.0,173907.0,3.45,88878.0,886049.0,1501620.0,18.201536802194347,8.46559120779535,9.158619972257693,23.450734665915768,13.837388953263808,,
2014-01-01,3095969.0,663154.0,410603.0,450034.0,252551.0,371827.0,6.17,26540.0,1185850.0,1807933.0,21.41991731829356,13.262503597419743,14.536127461224579,37.95033098621242,24.892183504587837,0.36462225458481967,1.1658637533989462
2015-01-01,5052080.0,941722.0,622143.0,703854.0,319579.0,582345.0,8.63,444849.0,3585326.0,5237454.0,18.640282814207218,12.314591217874618,13.931964656141629,19.63152025785103,13.438857887821069,0.6318251248639764,0.564001830972771
2016-01-01,11056658.0,2016550.0,1187064.0,1309934.0,829486.0,1075660.0,12.57,1185764.0,4462196.0,7795702.0,18.238332052958498,10.736191713626306,11.847467833408611,29.35626314935516,16.803284681738734,1.1885358109927,0.8610876687494851
2017-01-01,14471649.0,2866575.0,1558541.0,1696061.0,1308034.0,1388727.0,14.01,553655.0,7901216.0,15546766.0,19.80821259553766,10.769615819178588,11.719887623034527,21.465822475932818,10.90941357192872,0.3088628589217466,0.294768286035785
2018-01-01,34904064.0,7728581.0,1882113.0,2369056.0,5846468.0,1959804.0,14.81,7695114.0,17774234.0,47794331.0,22.142352821722994,5.392246014676114,6.787335709675527,13.328596889182398,4.956771965277639,1.4118926599173323,0.3967988179670425
2019-01-01,68962459.0,15263910.0,2940151.0,3647699.0,12323759.0,2868877.0,14.45,2304495.0,25775703.0,74924876.0,22.13365100568702,4.263408008696442,5.289398105714299,14.151695494008445,4.868475191070052,0.9757716178838085,0.5397267941323465
