,營業收入合計,營業毛利（毛損）,營業利益（損失）,繼續營業單位稅前淨利（淨損）,營業費用合計,本期淨利（淨損）,基本每股盈餘合計,本期現金及約當現金增加（減少）數,股東權益總額,資產總額,營業毛利率(%),營業利益率(%),純益率(%),股東權益率(%),總資產報酬率(%),營收成長率,淨利成長率
2010-01-01,12378852.0,2569950.0,1534048.0,1434770.0,1035902.0,1208348.0,5.92,1388102.0,5546399.0,13658305.0,20.760810453182575,12.392490030577957,11.590493205670445,25.86849593763449,10.504744183117891,,
2011-01-01,15189551.0,2439851.0,1340556.0,1126907.0,1099295.0,885606.0,3.71,2687728.0,7779242.0,19195969.0,16.062693360718825,8.825514328896226,7.4189618903152565,14.486077178213508,5.870539799267232,0.22705651541839256,-0.2145730674602898
2012-01-01,16694465.0,2215776.0,804863.0,784350.0,1410913.0,676846.0,2.8,992390.0,8293098.0,25562857.0,13.272518765950272,4.821136825888101,4.698263765864914,9.457864841341559,3.068319006752649,0.09907560796234205,-0.30397983152114594
2013-01-01,22056305.0,4186330.0,2369693.0,2205627.0,1816637.0,1858853.0,6.26,1648004.0,10377013.0,29339025.0,18.98019636561972,10.743834926112964,9.999984131521575,21.25493145281788,7.517724259753009,0.3211747126966933,1.8120443679479825
2014-01-01,20936485.0,3567927.0,1793303.0,1864515.0,1774624.0,1531058.0,4.46,840419.0,12249756.0,30108716.0,17.041671512672735,8.565444486025232,8.905577989810611,15.220833786403581,6.192608811348847,-0.0507709700242176,-0.15465534290249439
2015-01-01,23868584.0,4375779.0,2342452.0,2282600.0,2033327.0,1833595.0,5.82,35625.0,13471617.0,32021933.0,18.33279678425834,9.81395461079719,9.5631982190481,16.943771486377617,7.128239260259522,0.1400473384142562,0.22423257522733797
2016-01-01,22450245.0,3514833.0,1551882.0,1649303.0,1962951.0,1222389.0,4.02,-488933.0,13457797.0,29332160.0,15.656100857696654,6.9125392618209744,7.346481074037277,12.255371365759196,5.622848777587467,-0.059422837986534915,-0.27744545693507405
2017-01-01,21798292.0,3045915.0,1097340.0,1274413.0,1948575.0,967007.0,3.08,-506223.0,12046954.0,28115833.0,13.973181935538804,5.034064136768147,5.846389249212736,10.578715582378749,4.532723608082321,-0.029039905800582577,-0.22730207851437845
2018-01-01,22510119.0,2943868.0,1124605.0,1120203.0,1819263.0,815971.0,2.83,-652123.0,12287231.0,26460080.0,13.077976175958911,4.995997577800455,4.976441928183498,9.116805893858428,4.233558628696512,0.03265517316677835,-0.1210047292361267
2019-01-01,23057652.0,3427277.0,1549940.0,1658354.0,1877337.0,1209090.0,4.38,72980.0,12455462.0,27845662.0,14.863946250901868,6.7220200912044294,7.1922067346666525,13.314271281145572,5.955520109380053,0.024323860749025705,0.4804048908992389
