,營業收入合計,營業毛利（毛損）,營業利益（損失）,繼續營業單位稅前淨利（淨損）,營業費用合計,本期淨利（淨損）,基本每股盈餘合計,本期現金及約當現金增加（減少）數,股東權益總額,資產總額,營業毛利率(%),營業利益率(%),純益率(%),股東權益率(%),總資產報酬率(%),營收成長率,淨利成長率
2010-01-01,11404975.0,3977610.0,1680968.0,1997468.0,2296642.0,1801089.0,4.89,3276143.0,14569920.0,25945466.0,34.87609573892095,14.738901225123247,17.51400594915815,13.709533065384024,7.69871699355872,,
2011-01-01,17470764.0,5224728.0,2229567.0,2596936.0,2995161.0,2322707.0,5.52,39000.0,15997111.0,29424204.0,29.90554963709658,12.761702922665547,14.864467289467134,16.233781212120114,8.825849630460691,0.5318546511500464,0.30011394425342486
2012-01-01,18642324.0,4608711.0,1482367.0,1576022.0,3126344.0,1305511.0,3.14,-388215.0,16409836.0,31706777.0,24.721762157979875,7.951621267820472,8.453999619360761,9.604130108308212,4.970615587954588,0.06705831525169703,-0.39312251052779124
2013-01-01,19068181.0,4437065.0,1093101.0,745123.0,3343964.0,542516.0,1.3,-1456171.0,14936467.0,28426618.0,23.269471797021435,5.7325919027095456,3.9076774024748353,4.988616116515372,2.621215791481069,0.022843557487789656,-0.527212818095179
2014-01-01,24725947.0,6184265.0,2010464.0,1931635.0,4173801.0,1461788.0,3.51,4019326.0,16831025.0,35732099.0,25.011236172268752,8.130988875774909,7.812178033059765,11.47663318187692,5.405881697573937,0.29671241320816066,1.592370655583038
2015-01-01,30569450.0,7571382.0,2641653.0,2750305.0,4929729.0,2180737.0,5.12,-918070.0,18080167.0,35038845.0,24.767805766868555,8.641480301412031,8.996907042815621,15.211723431536889,7.849302681067255,0.2363308066623293,0.42382230597395476
2016-01-01,28865615.0,6802769.0,1967750.0,2238587.0,4835019.0,1833098.0,4.27,817754.0,18026998.0,37298411.0,23.567032955992794,6.816934265907724,7.755202859873243,12.417968870912395,6.001829407692462,-0.05573652780799132,-0.18605863713297255
2017-01-01,29347250.0,7179858.0,2136020.0,2219663.0,5043838.0,1839518.0,4.13,67967.0,17671343.0,37925147.0,24.465181575786488,7.278433243319221,7.563444615764679,12.56080536719818,5.852747255007343,0.016685423123671494,-0.008453546813235291
2018-01-01,27310581.0,6346412.0,1692463.0,1507719.0,4653949.0,1245991.0,2.74,-2327422.0,18172648.0,37174848.0,23.237923792247408,6.197096282938836,5.5206405165821995,8.29663899284243,4.0557502750246615,-0.06939897264650008,-0.3207441850407021
2019-01-01,24089291.0,5654578.0,889068.0,1123959.0,4765510.0,863079.0,1.8,-238621.0,17352626.0,29084143.0,23.473409823477162,3.690718834356727,4.665803572218045,6.47716950737024,3.864507886651499,-0.1179502552508861,-0.2545301876543308
