,營業收入合計,營業毛利（毛損）,營業利益（損失）,繼續營業單位稅前淨利（淨損）,營業費用合計,本期淨利（淨損）,基本每股盈餘合計,本期現金及約當現金增加（減少）數,股東權益總額,資產總額,營業毛利率(%),營業利益率(%),純益率(%),股東權益率(%),總資產報酬率(%),營收成長率,淨利成長率
2016-01-01,1268862.0,561526.0,293310.0,304569.0,268216.0,249709.0,4.1,38899.0,1069611.0,1350307.0,44.25430031004159,23.115988972796096,24.003319509923067,28.474744556665925,22.555537370390585,,
2017-01-01,1084424.0,456917.0,219231.0,217394.0,237686.0,175662.0,2.89,-60416.0,985355.0,1228469.0,42.13453409367553,20.216354488650197,20.046955803265142,22.0625053914579,17.696335845674575,-0.14535702070043865,-0.28622413968591687
2018-01-01,1149328.0,534507.0,283081.0,281810.0,251426.0,222283.0,3.38,256224.0,1264925.0,1526211.0,46.506045271671795,24.63013169434661,24.519545334317097,22.27879123268178,18.464681488994643,0.05985112834094419,0.2963099257569206
2019-01-01,1138885.0,536313.0,272794.0,287024.0,263519.0,223402.0,3.35,28455.0,1279786.0,1544557.0,47.091058359711475,23.95272569223407,25.202193373343224,22.42749959758897,18.582933488372394,-0.009086179054195176,0.01850182747241047
