,繼續營業單位稅前淨利（淨損）,基本每股盈餘合計,本期現金及約當現金增加（減少）數,淨利成長率
2016-01-01,14785131.0,1.63,9741704.0,
2017-01-01,15205672.0,1.5,-2624681.0,0.028443508549230945
2018-01-01,16872873.0,1.49,18871913.0,0.10964336202964264
2019-01-01,20337357.0,1.58,1723055.0,0.20532863608941998
