,營業收入合計,營業毛利（毛損）,營業利益（損失）,繼續營業單位稅前淨利（淨損）,營業費用合計,本期淨利（淨損）,基本每股盈餘合計,本期現金及約當現金增加（減少）數,股東權益總額,資產總額,營業毛利率(%),營業利益率(%),純益率(%),股東權益率(%),總資產報酬率(%),營收成長率,淨利成長率
2010-01-01,42773863.0,-9843680.0,-15877279.0,-20739140.0,6033599.0,-20753527.0,-8.67,11400642.0,37374890.0,133400959.0,-23.01330604626475,-37.119114072067795,-48.48554361339774,-55.48950110622399,-15.546469947041386,,
2011-01-01,57109418.0,-3458266.0,-11693729.0,-15129927.0,8235463.0,-15130961.0,-4.34,-8204580.0,32679137.0,131966482.0,-6.055509093088639,-20.476008002743086,-26.492875483339716,-46.29842887221899,-11.464977144726795,0.33514754091768606,-0.27046507232218886
2012-01-01,37127581.0,-23062039.0,-33066774.0,-39842460.0,10004735.0,-39878897.0,-8.06,1472448.0,22821594.0,118490280.0,-62.11565197312478,-89.06255971807052,-107.3122970225289,-174.58228377912604,-33.62508722234431,-0.34988689606327283,1.633354410764837
2013-01-01,33882225.0,-22293449.0,-30565158.0,-35976107.0,8271709.0,-36029337.0,-2.24,3632961.0,2320911.0,101184273.0,-65.79688612539466,-90.2100083450836,-106.17988340494166,-1550.0855913906219,-35.55503828149262,-0.08741091966104664,-0.09704102106145052
2014-01-01,46975291.0,7510036.0,4099947.0,8149796.0,3410089.0,8110463.0,0.34,-7312879.0,10005137.0,93326819.0,15.98720484775709,8.727879940115752,17.349112323753353,81.45611599321428,8.732533785384886,0.38642875430996626,-1.2265335712949708
2015-01-01,49107622.0,22168561.0,18803856.0,31731906.0,3364705.0,28194576.0,11.77,3272353.0,41638912.0,104554597.0,45.14281102839799,38.291114971928394,64.61706901629242,76.20733702167819,30.34960385338198,0.04539260863759198,2.8935828577795077
2016-01-01,43875905.0,17307996.0,13487386.0,17677428.0,3820610.0,17171400.0,7.07,-4164150.0,54854375.0,104006037.0,39.447610254420965,30.739846847603484,40.28960314322861,32.2261041165814,16.99654030659778,-0.10653574306652436,-0.4429131360719397
2017-01-01,41632505.0,12851093.0,8552235.0,25725730.0,4298858.0,23728585.0,8.67,5997927.0,85645147.0,136977142.0,30.86793119943179,20.54220614397332,61.79241436468932,30.037580529810988,18.781038664100613,-0.05113056927258819,0.45528693427573286
2018-01-01,54918224.0,24644147.0,18791300.0,41830531.0,5852847.0,40294624.0,14.36,24667045.0,132115188.0,150779302.0,44.874260682574146,34.21687489384216,76.16876139330361,31.66216665414729,27.742886752453593,0.3191188951997963,0.6260192033423346
2019-01-01,84721804.0,46616003.0,39355470.0,41584337.0,7260533.0,39360850.0,12.8,23615329.0,164907298.0,182585813.0,55.02243908781735,46.45258734103443,49.08339416379755,25.216796045011908,22.775228982330624,0.5426901641975894,-0.005885509796660249
