,營業收入合計,營業毛利（毛損）,營業利益（損失）,繼續營業單位稅前淨利（淨損）,營業費用合計,本期淨利（淨損）,基本每股盈餘合計,本期現金及約當現金增加（減少）數,股東權益總額,資產總額,營業毛利率(%),營業利益率(%),純益率(%),股東權益率(%),總資產報酬率(%),營收成長率,淨利成長率
2010-01-01,9809169.0,3048503.0,1459522.0,1349544.0,1588981.0,1052079.0,6.34,-192783.0,8038800.0,13917640.0,31.07809642182737,14.879160507888079,13.75798500362263,16.78787878787879,9.696643971248,,
2011-01-01,11422457.0,3496648.0,1646285.0,1360827.0,1850363.0,1123906.0,6.78,1215376.0,8407833.0,17003932.0,30.612047828238705,14.412704727187856,11.913610180366623,16.18522870280606,8.003013655900295,0.16446734682621944,0.008360601803275802
2012-01-01,12026943.0,3415096.0,1369191.0,-542842.0,2045905.0,-390748.0,-2.36,38824.0,7497234.0,18293163.0,28.39537860951033,11.38436425615387,-4.513549286797152,-7.240563653208637,-2.967458388688714,0.05292083831000638,-1.3989059593908704
2013-01-01,12623933.0,3424500.0,1452374.0,1207178.0,1972126.0,1033107.0,6.24,-233361.0,8354367.0,18883217.0,27.127045113436516,11.50492481225938,9.562614123506517,14.449664468893934,6.39286197897318,0.04963771758126723,-3.2238109799904944
2014-01-01,13639496.0,3909093.0,1599878.0,1676719.0,2175319.0,1331419.0,8.06,528294.0,9316283.0,22258160.0,28.660098584287862,11.729744266210423,12.293115522743655,17.997725058373604,7.533053046613017,0.08044743266619059,0.3889575522416744
2015-01-01,14711547.0,4214609.0,1925887.0,2089633.0,2288722.0,1656644.0,10.07,397731.0,10396111.0,24278690.0,28.64830598712698,13.090989003399848,14.204033063280155,20.100141293220126,8.606860584323124,0.07859901861476404,0.24626308880617453
2018-01-01,16112554.0,4220575.0,1772677.0,1362492.0,2447898.0,999326.0,6.04,521480.0,12677150.0,30246849.0,26.194326486043117,11.001837449233683,8.456089580832437,10.747620719167953,4.504575005482389,0.09523179309422725,-0.3479754578914096
2019-01-01,16203425.0,4121199.0,1453124.0,1261405.0,2668075.0,939311.0,5.66,-413120.0,13194110.0,32245602.0,25.434122724053708,8.968005221118375,7.7848047557846565,9.56036443534274,3.9118668027968586,0.00563976387604348,-0.07419272920501552
