,繼續營業單位稅前淨利（淨損）,基本每股盈餘合計,本期現金及約當現金增加（減少）數,淨利成長率
2010-01-01,336154.0,0.01,-1698593.0,
2011-01-01,875994.0,0.3,429176.0,1.6059306151347301
2012-01-01,1933287.0,0.79,3680574.0,1.2069637463270295
2013-01-01,3324687.0,1.2,1914133.0,0.719706903320614
2014-01-01,3536979.0,1.23,6571427.0,0.06385322889041878
2015-01-01,4200243.0,1.32,6038052.0,0.1875227418653036
2016-01-01,4136557.0,1.14,8253740.0,-0.015162456076945996
2017-01-01,4144063.0,1.09,1291371.0,0.0018145525372912363
2018-01-01,4355212.0,1.1,-48153382.0,0.05095216940476055
2019-01-01,4759883.0,1.18,-214999.0,0.0929164871882242
