,營業收入合計,營業毛利（毛損）,營業利益（損失）,繼續營業單位稅前淨利（淨損）,營業費用合計,本期淨利（淨損）,基本每股盈餘合計,本期現金及約當現金增加（減少）數,股東權益總額,資產總額,營業毛利率(%),營業利益率(%),純益率(%),股東權益率(%),總資產報酬率(%),營收成長率,淨利成長率
2010-01-01,2200059.0,535208.0,317509.0,353078.0,217699.0,266038.0,1.58,203607.0,2466991.0,3209925.0,24.326983958157484,14.431840237011825,16.04856960654237,14.31209112639649,10.999571641081957,,
2011-01-01,2447891.0,549053.0,327264.0,362190.0,221789.0,292799.0,1.64,87926.0,2657572.0,3432092.0,22.42963432603821,13.369222730914082,14.796001946165086,13.628605358575422,10.553038788004518,0.1126478880793651,0.02580732869224356
2012-01-01,2642095.0,591529.0,377530.0,325178.0,213999.0,255813.0,1.44,221806.0,2796791.0,3679352.0,22.38863477656935,14.289039568978406,12.307581672877015,11.62682517213478,8.837914937195462,0.07933523183834579,-0.102189458571468
2013-01-01,2788002.0,540556.0,306077.0,365670.0,234479.0,308335.0,1.73,-191797.0,2909413.0,3772870.0,19.38865180154103,10.9783637170992,13.11584424975305,12.5685146797653,9.692091166671526,0.055223979455697014,0.12452256917749671
2014-01-01,2683713.0,400823.0,169835.0,254373.0,230988.0,214649.0,1.21,49532.0,2849572.0,3978629.0,14.935389887070638,6.328359254510449,9.47839802542224,8.926708993490951,6.393483785494953,-0.03740635767119249,-0.3043645910246944
2015-01-01,2789037.0,467824.0,234118.0,219070.0,233706.0,182885.0,1.03,-38432.0,2827433.0,4006546.0,16.77367492794108,8.394223525898008,7.854682458497324,7.7480173712339075,5.467801942121718,0.03924562723361258,-0.13878438356272094
2016-01-01,2116337.0,471743.0,235975.0,296769.0,235768.0,245371.0,1.38,170683.0,2835607.0,4145954.0,22.290542574268652,11.150161812603569,14.022766695474303,10.465801502112246,7.158038897681933,-0.2411943620683411,0.3546765873921578
2017-01-01,1762132.0,451432.0,218847.0,269009.0,232585.0,221787.0,1.25,-114462.0,2847847.0,4338052.0,25.618512120544885,12.419444173308243,15.266109462855223,9.446048190088865,6.201147427462834,-0.16736701196454062,-0.09354076739821204
2018-01-01,1940579.0,451565.0,203904.0,298541.0,247661.0,250611.0,1.41,-105561.0,2894454.0,4567377.0,23.26960149522385,10.507379498592947,15.384119894114075,10.31424234069707,6.536377443771338,0.1012676689374008,0.10978071365642039
2019-01-01,2163160.0,531044.0,290757.0,299787.0,240287.0,226659.0,1.27,133479.0,2911178.0,4741254.0,24.549455426320755,13.441308086318166,13.858752935520258,10.29779010421211,6.322947473389952,0.11469824212258306,0.004173631092546648
