,營業收入合計,營業毛利（毛損）,營業利益（損失）,繼續營業單位稅前淨利（淨損）,營業費用合計,本期淨利（淨損）,基本每股盈餘合計,本期現金及約當現金增加（減少）數,股東權益總額,資產總額,營業毛利率(%),營業利益率(%),純益率(%),股東權益率(%),總資產報酬率(%),營收成長率,淨利成長率
2010-01-01,47483049.0,8690158.0,1817326.0,2486919.0,6872832.0,2050416.0,3.24,1755659.0,20530774.0,32082097.0,18.301600640683375,3.827315301508966,5.2374880138804905,12.113128321416426,7.751734557750386,,
2011-01-01,55834316.0,9189817.0,1391698.0,2450778.0,7798119.0,2099779.0,3.29,1713138.0,20416792.0,30685523.0,16.45908405146398,2.4925495639634954,4.389375881312847,12.003736923998638,7.9867564910006585,0.17587891207239026,-0.014532439536631525
2012-01-01,45447984.0,8358129.0,1035589.0,1987674.0,7322540.0,1552060.0,2.46,2291962.0,20728297.0,29523910.0,18.39053851101514,2.278624724036164,4.373514125511046,9.589181397777155,6.732421281598541,-0.18602058275416145,-0.18896203572906234
2013-01-01,45797658.0,7881590.0,1233921.0,1776715.0,6647669.0,1554485.0,2.48,-660609.0,20595258.0,30630747.0,17.20959180925802,2.694288428460687,3.8794887721114475,8.62681593986344,5.800429875249207,0.007693938635429998,-0.10613360138533778
2014-01-01,51118994.0,9149206.0,1804169.0,2732357.0,7345037.0,2359480.0,3.76,-591257.0,21849702.0,34997402.0,17.897860040046954,3.529351536143297,5.345091493780179,12.505236913528615,7.807313811465205,0.11619231708311362,0.5378701705113087
2015-01-01,54541687.0,9468383.0,1805536.0,2944346.0,7662847.0,2399805.0,3.82,1189949.0,22578114.0,33692626.0,17.359901243978758,3.310377986658168,5.398340539044933,13.04070836031743,8.738843923890052,0.06695540604730987,0.07758466408306086
2016-01-01,50828792.0,8761412.0,1251738.0,2671659.0,7509674.0,1922700.0,3.05,1387256.0,22553419.0,33240633.0,17.237104513520602,2.4626554178190974,5.256192199098495,11.845915690210871,8.037328892022003,-0.06807444368194915,-0.09261377569076457
2017-01-01,52347389.0,9069697.0,1688998.0,2962321.0,7380699.0,2284350.0,3.64,2201089.0,22968943.0,36224050.0,17.325977805693423,3.2265181363677944,5.658966104307514,12.897071493450962,8.177774158328514,0.029876708460826684,0.10879457296009698
2018-01-01,59884781.0,10198857.0,2226350.0,3175627.0,7972507.0,2713506.0,4.41,2526898.0,24232324.0,38797672.0,17.030799528180623,3.717722537884876,5.302894904132654,13.104921343904117,8.185096775909647,0.1439879265038415,0.07200637608145777
2019-01-01,60923590.0,10123214.0,2275588.0,2952771.0,7847626.0,2496125.0,4.04,-6840691.0,24168666.0,35734595.0,16.61624667883163,3.735150866848129,4.846679258395639,12.21735200445072,8.26305992834115,0.01734679467225564,-0.07017700756417555
