,營業收入合計,營業毛利（毛損）,營業利益（損失）,繼續營業單位稅前淨利（淨損）,營業費用合計,本期淨利（淨損）,基本每股盈餘合計,本期現金及約當現金增加（減少）數,股東權益總額,資產總額,營業毛利率(%),營業利益率(%),純益率(%),股東權益率(%),總資產報酬率(%),營收成長率,淨利成長率
2011-01-01,3973587.0,435902.0,-12742.0,-68265.0,448644.0,-72605.0,-0.38,-53956.0,2059007.0,4021392.0,10.969987570424406,-0.32066744732152586,-1.7179691799877543,-3.3154331189743402,-1.6975465212045977,,
2012-01-01,3939833.0,403561.0,-3043.0,14718.0,406604.0,1833.0,0.01,128820.0,2038556.0,3927986.0,10.243099136435479,-0.07723677627960374,0.37356913351403476,0.7219816379829644,0.37469583649228894,-0.008494591914056548,-1.215600966820479
2013-01-01,3735794.0,369828.0,-57567.0,-87225.0,427395.0,-109784.0,-0.5,-91116.0,1906827.0,3489614.0,9.899582257479937,-1.5409575581522963,-2.334845015544219,-4.57435310072702,-2.499560123268648,-0.05178874332998373,-6.92641663269466
2014-01-01,3635599.0,458233.0,30462.0,61147.0,428902.0,49807.0,0.23,281773.0,1953317.0,3681179.0,12.604057818257733,0.837881185466274,1.6818961607151943,3.1304186673233274,1.6610710861927658,-0.026820268997701735,-1.7010260819719116
2015-01-01,3919890.0,567716.0,114402.0,213155.0,454408.0,169993.0,0.79,20634.0,2132593.0,3549692.0,14.48295742992788,2.9185002640380215,5.437780141789693,9.995109240253532,6.004887184578267,0.07819646776225864,2.4859437094215577
2016-01-01,3476757.0,693909.0,235128.0,317144.0,459875.0,266637.0,1.25,196194.0,2116069.0,3760933.0,19.95851306260403,6.762854004464505,9.121833938926418,14.98741298133473,8.432588402930868,-0.11304730489886194,0.48785625483802875
2017-01-01,3178919.0,627726.0,184395.0,215984.0,444425.0,187846.0,1.03,-218604.0,2040669.0,3453848.0,19.746523896959943,5.800556730133734,6.7942593063868575,10.583980057520352,6.253430955849823,-0.08566546353397719,-0.31897182352496023
2018-01-01,3005136.0,510662.0,104516.0,67208.0,407240.0,55571.0,0.33,404067.0,1917562.0,3535123.0,16.992974693990554,3.4779124805000503,2.236437885007534,3.5048671177255284,1.901150257006616,-0.054667325590869065,-0.6888288021334914
2019-01-01,2818735.0,479351.0,60968.0,126629.0,420461.0,112163.0,0.71,-119607.0,1809159.0,3394068.0,17.005890940439595,2.1629560778150485,4.492405281092405,6.999329522722989,3.730891661569538,-0.06202747562839084,0.8841358171646232
